"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newark,%20New%20Jersey"
"2. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newark,%20New%20Jersey"
"3. ","E & G Exterminators","(732) 479-4534","https://www.yellowpages.com/south-amboy-nj/mip/e-g-exterminators-472721335?lid=1002104194167","Pest Control Services,Pest Control Equipment & Supplies,Bird Barriers, Repellents & Controls","http://www.egexterminators.com","","122 N Broadway","South Amboy","NJ","08879","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newark,%20New%20Jersey"
"4. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417047","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newark,%20New%20Jersey"
"5. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042069","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newark,%20New%20Jersey"
"6. ","Vanguard Fumigation Co","(973) 344-9100","https://www.yellowpages.com/newark-nj/mip/vanguard-fumigation-co-454144956","Pest Control Services","http://www.vanguardfumigation.com","","122 Marsh St","Newark","NJ","07114","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newark,%20New%20Jersey"
"7. ","Afco Pest Control","(973) 589-5688","https://www.yellowpages.com/newark-nj/mip/afco-pest-control-26936644","Pest Control Services","http://www.afcopestcontrol.com","","236 Delancey St","Newark","NJ","07105","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newark,%20New%20Jersey"
"8. ","Vangard Pest Control","(973) 344-9100","https://www.yellowpages.com/newark-nj/mip/vangard-pest-control-467731712","Pest Control Services","http://www.vanguardfumigation.com/Contact-Us-directions.html","","122 Marsh St","Newark","NJ","07114","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newark,%20New%20Jersey"
"9. ","Fischer Wildlife Control & Repairs","(800) 273-7055","https://www.yellowpages.com/newark-nj/mip/fischer-wildlife-control-repairs-506576763","Pest Control Services,Animal Removal Services","http://www.wildliferemovalcontrolnj.com","","","Newark","NJ","07105","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newark,%20New%20Jersey"
"10. ","Wildlife Services by EPC","(973) 446-6748","https://www.yellowpages.com/newark-nj/mip/wildlife-services-by-epc-558791525","Pest Control Services","http://wildlifeservicesbyepc.com","","26 Grand Ave Apt 2 /","Newark","NJ","07106","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newark,%20New%20Jersey"
