"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Colonial Exterminating CO Inc","(757) 304-6213","https://www.yellowpages.com/newport-news-va/mip/colonial-exterminating-co-inc-18959468?lid=210021893","Pest Control Services,Waterproofing Contractors,Inspection Service","http://www.colonialext.com","","810 Forrest Dr","Newport News","VA","23606","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
"2. ","Dodson Pest Control","(757) 269-3525","https://www.yellowpages.com/newport-news-va/mip/dodson-pest-control-457250630?lid=1002033451364","Pest Control Services,Pest Control Services-Commercial & Industrial,Bee Control & Removal Service","https://www.dodsonbros.com","","15496 Warwick Blvd","Newport News","VA","23608","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
"3. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/newport-news-va/mip/orkin-pest-termite-control-475516437?lid=1002085300235","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","715 Bluecrab Rd","Newport News","VA","23606","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
"4. ","Nationwide Termite & Pest","(757) 690-7246","https://www.yellowpages.com/newport-news-va/mip/nationwide-termite-pest-491127860?lid=1002103332010","Pest Control Services,Building Contractors,Pest Control Equipment & Supplies","http://www.nationwidetermiteandpestcontrol.com","","810 79th St","Newport News","VA","23605","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
"5. ","National Exterminating","(757) 528-8214","https://www.yellowpages.com/newport-news-va/mip/national-exterminating-22242412?lid=1001814784412","Pest Control Services,Inspecting Engineers,Industrial, Technical & Trade Schools","http://www.nationalexterminating.com","","12484 Warwick Blvd","Newport News","VA","23606","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
"6. ","Dodson Pest Control","(800) 931-1354","https://www.yellowpages.com/nationwide/mip/dodson-pest-control-534380813?lid=1002046552507","Pest Control Services,Pest Control Services-Commercial & Industrial,Termite Control","http://www.dodsonbros.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
"7. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
"8. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
"9. ","Statewide Alliance Termite & Moisture","(757) 251-9859","https://www.yellowpages.com/hampton-va/mip/statewide-alliance-termite-moisture-8481808?lid=1002037179004","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.statewidealliance.com","","2609 Kecoughtan Rd","Hampton","VA","23661","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
"10. ","Dodson Pest Control","(757) 909-7255","https://www.yellowpages.com/virginia-beach-va/mip/dodson-pest-control-560628914?lid=1002078846785","Pest Control Services,Termite Control,Bird Barriers, Repellents & Controls","https://www.dodsonbros.com/","","4797 Indian River Rd","Virginia Beach","VA","23456","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
"11. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417252","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
"12. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042103","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
"13. ","Two Guys Wildlife Removal","(757) 606-9743","https://www.yellowpages.com/nationwide/mip/two-guys-wildlife-removal-561191383?lid=1002094425658","Pest Control Services,Wildlife Refuge","https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1653460905736.fcad96aa&ADID=12282587&DEST=https%3A%2F%2Ftwoguyswildlife2.mydex.com%2FzQoiPCvOw9A&C=Pest%20Control&T=Newport%20News&S=VA&PH=(757)%20606-9743&FL=url&TL=off&position=12&PS=30&PI=1&Results=FEED_CLCK&uid=fcad96aa-4ef0-4522-a44d-8f4a712b664e&REF=&IP=185.183.33.19&UserAgent=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F64.0.3282.140%20Safari%2F537.36","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
"14. ","ValuePest","(757) 292-6880","https://www.yellowpages.com/virginia-beach-va/mip/valuepest-525216463?lid=1001439838556","Pest Control Services,Inspection Service,Pest Control Equipment & Supplies","","","","Virginia Beach","VA","23452","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
"15. ","Colonial Exterminating Co Inc","(757) 273-6230","https://www.yellowpages.com/newport-news-va/mip/colonial-exterminating-co-inc-567135750?lid=1002071087415","Pest Control Services,Pest Control Services-Commercial & Industrial,Termite Control","https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1653460905739.fcad96aa&ADID=12258427&DEST=https%3A%2F%2Fcolonialext2.mydex.com%2FXpyzXCxO5nE&C=Pest%20Control&T=Newport%20News&S=VA&PH=(757)%20273-6230&FL=url&TL=off&position=14&PS=30&PI=1&Results=FEED_CLCK&uid=fcad96aa-4ef0-4522-a44d-8f4a712b664e&REF=&IP=185.183.33.19&UserAgent=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F64.0.3282.140%20Safari%2F537.36","","810 Forrest Dr","Newport News","VA","23606","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
"16. ","Bales Termite & Pest Control","(757) 244-7881","https://www.yellowpages.com/newport-news-va/mip/bales-termite-pest-control-22792211","Pest Control Services,Waterproofing Contractors,Animal Removal Services","http://balespestcontrol.com","","609 Briarfield Rd","Newport News","VA","23605","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
"17. ","Commonwealth Exterminating Co","(757) 873-2030","https://www.yellowpages.com/newport-news-va/mip/commonwealth-exterminating-co-16958217","Pest Control Services,Waterproofing Contractors,Termite Control","http://www.commonwealthext.com","","711 Gum Rock Ct Ste 5","Newport News","VA","23606","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Newport%20News,%20Virginia"
