"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","JS Pest Control","(702) 248-7378","https://www.yellowpages.com/north-las-vegas-nv/mip/js-pest-control-531743561","Pest Control Services","http://jspestcontrol.com","","4429 Losee Rd","North Las Vegas","NV","89081","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"2. ","Medrano Pest Control","(702) 399-7887","https://www.yellowpages.com/north-las-vegas-nv/mip/medrano-pest-control-17964078","Pest Control Services","https://medranopestcontrol-nv.com","","","North Las Vegas","NV","89032","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"3. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"4. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"5. ","Western Exterminator","(702) 643-0998","https://www.yellowpages.com/nationwide/mip/western-exterminator-548293857","Pest Control Services,Bird Barriers, Repellents & Controls,Termite Control","http://www.westernexterminator.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"6. ","Swat Bug Killers","(702) 608-2803","https://www.yellowpages.com/north-las-vegas-nv/mip/swat-bug-killers-458051871?lid=1002042935753","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.swatbugkillerspestcontrol.com","","3520 Coleman St","North Las Vegas","NV","89032","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"7. ","Douglas Pest Control","(702) 738-7378","https://www.yellowpages.com/north-las-vegas-nv/mip/douglas-pest-control-538483516","Pest Control Services","","","5546 Camino Al Norte Ste 2","North Las Vegas","NV","89031","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"8. ","Prestige Pest Control","(702) 375-6504","https://www.yellowpages.com/north-las-vegas-nv/mip/prestige-pest-control-512986293","Pest Control Services","http://prestigepestcontrol.com","","","North Las Vegas","NV","89032","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"9. ","Rum Pest Control","(725) 237-7439","https://www.yellowpages.com/north-las-vegas-nv/mip/rum-pest-control-567180935","Pest Control Services","https://rumpestcontrol.com","","","North Las Vegas","NV","89031","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"10. ","Bulwark Exterminating","(702) 255-6313","https://www.yellowpages.com/north-las-vegas-nv/mip/bulwark-exterminating-467215367","Pest Control Services","http://bulwarkpestcontrol.org","","3932 Octagon Rd","North Las Vegas","NV","89030","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"11. ","JS PEST CONTROL","(702) 265-3915","https://www.yellowpages.com/north-las-vegas-nv/mip/js-pest-control-481616735","Pest Control Services","","","2915 Losee Rd","North Las Vegas","NV","89030","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"12. ","Evolve Pest Control","(702) 930-5660","https://www.yellowpages.com/north-las-vegas-nv/mip/evolve-pest-control-505557194","Pest Control Services","http://www.evolvepestcontrol.com","","1504 Crystal Rainey Ave","North Las Vegas","NV","89086","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"13. ","Caudle's Pest Control","(702) 400-2490","https://www.yellowpages.com/north-las-vegas-nv/mip/caudles-pest-control-472529631","Pest Control Services","","","6633 Cliff Shore Ct","North Las Vegas","NV","89084","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"14. ","Global Pest Services Inc","(702) 657-0091","https://www.yellowpages.com/north-las-vegas-nv/mip/global-pest-services-inc-19358913","Pest Control Services,Bee Control & Removal Service,Animal Removal Services","https://www.globalpestlasvegas.com","","3421 Precision Dr","North Las Vegas","NV","89032","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"15. ","Smitty's Pest Control","(702) 772-0772","https://www.yellowpages.com/north-las-vegas-nv/mip/smittys-pest-control-481375681","Pest Control Services,Pest Control Services-Commercial & Industrial","","","3155 W Craig Rd # 110-239","North Las Vegas","NV","89032","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"16. ","Clark County Bee Removal","(702) 788-0124","https://www.yellowpages.com/north-las-vegas-nv/mip/clark-county-bee-removal-496179848","Pest Control Services,Pest Control Services-Commercial & Industrial","http://www.clarkcountybeeremoval.com","","3514 Ocatillo Mesa Way","North Las Vegas","NV","89031","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"17. ","Enviro Pro Pest Management Service","(702) 307-6613","https://www.yellowpages.com/north-las-vegas-nv/mip/enviro-pro-pest-management-service-546213847","Pest Control Services","https://jspestcontrol.com","","19 W Brooks Ave","North Las Vegas","NV","89030","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"18. ","Enviro PRO Pest Mgt Service","(702) 307-6613","https://www.yellowpages.com/north-las-vegas-nv/mip/enviro-pro-pest-mgt-service-474582093","Pest Control Services","","","3840 N Commerce St","North Las Vegas","NV","89032","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"19. ","Bulwark Exterminating","(702) 255-6313","https://www.yellowpages.com/north-las-vegas-nv/mip/bulwark-exterminating-535003165","Pest Control Services","http://www.bulwarkpestcontrol.com","","2707 E Craig Rd","North Las Vegas","NV","89030","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"20. ","Pest Control Las Vegas","(702) 255-6313","https://www.yellowpages.com/north-las-vegas-nv/mip/pest-control-las-vegas-535353542","Pest Control Services","http://pestcontrollasvegasnv.com","","2707 E Craig Rd","North Las Vegas","NV","89030","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"21. ","All Things Pest","(702) 649-0713","https://www.yellowpages.com/north-las-vegas-nv/mip/all-things-pest-497878875","Pest Control Services","","","225 Winley Chase Ave","North Las Vegas","NV","89032","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
"22. ","All Star Pest Control","(702) 639-1001","https://www.yellowpages.com/north-las-vegas-nv/mip/all-star-pest-control-462154107","Pest Control Services","http://www.prostarpestcontrol.com","","3940 Scott Robinson Blvd","North Las Vegas","NV","89032","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=North%20Las%20Vegas,%20Nevada"
