"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Clark Pest Control","(877) 772-3989","https://www.yellowpages.com/nationwide/mip/clark-pest-control-30426665?lid=1002046843893","Pest Control Services,Landscaping & Lawn Services,Lawn Maintenance","http://www.clarkpest.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"2. ","Ecola Termite and Pest Control Services","(805) 206-3991","https://www.yellowpages.com/nationwide/mip/ecola-termite-and-pest-control-services-564773920?lid=1002081796056","Pest Control Services,Insect Control Devices,Bird Barriers, Repellents & Controls","https://www.ecolatermite.com/?=16","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"3. ","Green Flash Pest Control","(760) 621-0912","https://www.yellowpages.com/vista-ca/mip/green-flash-pest-control-543486806?lid=1001963002021","Pest Control Services,Termite Control,Animal Removal Services","http://www.greenflashpest.com","","1930 Watson Way Ste K","Vista","CA","92081","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"4. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"5. ","Aardvark Ant & Pest Control Inc","(619) 579-5020","https://www.yellowpages.com/el-cajon-ca/mip/aardvark-ant-pest-control-inc-466940767?lid=1001869622515","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","http://www.aardvarkant.com/","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"6. ","Payne  Pest Management Inc","(858) 987-8895","https://www.yellowpages.com/temecula-ca/mip/payne-pest-management-inc-460707220?lid=1002103329240","Pest Control Services,Pest Control Equipment & Supplies,Bee Control & Removal Service","http://www.paynepestmgmt.com","","43460 Ridge Park Drive, Suite 250","Temecula","CA","92590","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"7. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697597","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"8. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"9. ","Agricultural Pest Control Services","(858) 536-2999","https://www.yellowpages.com/lakeside-ca/mip/agricultural-pest-control-services-455249806?lid=1002104193379","Pest Control Services,Tourist Information & Attractions,Animal Shows & Organizations","http://www.agpest.com","","9927 Maine Ave","Lakeside","CA","92040","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"10. ","Clark Pest Control","(209) 207-5732","https://www.yellowpages.com/modesto-ca/mip/clark-pest-control-10751486?lid=1002041486006","Pest Control Services,Landscaping & Lawn Services,Bird Barriers, Repellents & Controls","http://www.clarkpest.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"11. ","Clark Pest Control","(858) 800-3732","https://www.yellowpages.com/san-diego-ca/mip/clark-pest-control-546829643?lid=1002041485842","Pest Control Services,Bee Control & Removal Service,Termite Control","http://api.citygridmedia.com/content/places/v2/click?q=urVBa6moXC5S9VPyC16BYBn_NxLXMVobS_8vbcyI69_gxb4CfBJy9OKohTker_VRQUs_rkabzY8Aw-E7wg8PzxGIRE6Qeb1zffG2kRjt9wW32cq9uCECkL8wpv5bmgpnMxwKR01GRUcbTtoWfzk4-NTLtdSVVS0zvMpRecbczuF0YyplbjUkhQPMnPLjc6hkyXL7Bxs5n0olR5CWtyZi85clgtL0iOCA_cQgC8XAA-tbbiw_W3aPEiv_7Flo5zeioo1c0pS-WSax0kabC8pviqt0HNxnjc0TBSnn6fkPh5PlcSdTMW59plX8oDHw7u8rzuLSU2u5H4y2s3ge11ji4GC_J56bZOHubeaNKqVumPiXTHbM2Otj1LBmLHQ1ZQ3W4VuCdtFTk1NKuTkYw6o90uWvSSdKRYFHycry-HmTxsIbx3I-u-4itPVQJCVFXeb4","","6255 Ferris Sq","San Diego","CA","92121","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"12. ","Clark Pest Control","(858) 210-6015","https://www.yellowpages.com/san-diego-ca/mip/clark-pest-control-567138990?lid=1002091490053","Pest Control Services,Weed Control Service,Lawn Maintenance","http://www.clarkpest.com","","6255 Ferris Square San Diego","San Diego","CA","92121","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"13. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/vista-ca/mip/orkin-pest-termite-control-540906896?lid=1002085300248","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","2420 Grand Ave Ste J","Vista","CA","92081","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"14. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417187","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"15. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042111","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"16. ","Ecola Termite and Pest Control Services","(805) 422-7389","https://www.yellowpages.com/simi-valley-ca/mip/ecola-termite-and-pest-control-services-462007408?lid=1002081182047","Pest Control Services,Pest Control Equipment & Supplies,Bird Barriers, Repellents & Controls","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"17. ","Animals Gone Wild","(760) 216-6602","https://www.yellowpages.com/nationwide/mip/animals-gone-wild-22123014?lid=1000439527279","Pest Control Services,Bird Barriers, Repellents & Controls,Animal Removal Services","http://www.animalsgonewild.info","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"18. ","Bison Constructors - Termite Damage Repair","(619) 867-0110","https://www.yellowpages.com/san-diego-ca/mip/bison-constructors-termite-damage-repair-22220759?lid=1001833545137","Pest Control Services,Building Contractors,Altering & Remodeling Contractors","http://www.bisonconstructors.net","","4068 Meade Ave","San Diego","CA","92116","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"19. ","Turfmaster","(760) 451-9360","https://www.yellowpages.com/escondido-ca/mip/turfmaster-458724795?lid=1000088530712","Pest Control Services,Landscaping & Lawn Services,Stadiums, Arenas & Athletic Fields","http://www.turfmaster.info","","9479 W Lilac Rd","Escondido","CA","92026","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"20. ","Clark Pest Control","(760) 456-7099","https://www.yellowpages.com/encinitas-ca/mip/clark-pest-control-467903992?lid=1002079462384","Pest Control Services,Termite Control,Lawn Maintenance","http://www.clarkpest.com","","","Encinitas","CA","92024","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"21. ","Clark Pest Control","(858) 255-4970","https://www.yellowpages.com/escondido-ca/mip/clark-pest-control-467903985?lid=1002089993366","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","http://www.clarkpest.com","","","Escondido","CA","92027","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"22. ","Clark Pest Control","(858) 230-8601","https://www.yellowpages.com/poway-ca/mip/clark-pest-control-480714753?lid=1002089993404","Pest Control Services,Weed Control Service,Pest Control Services-Commercial & Industrial","http://www.clarkpest.com","","","Poway","CA","92064","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"23. ","Clark Pest Control","(888) 208-4638","https://www.yellowpages.com/nationwide/mip/clark-pest-control-457906687?lid=1002045566178","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"24. ","All Service Pest Control","(760) 967-4054","https://www.yellowpages.com/oceanside-ca/mip/all-service-pest-control-548523603","Pest Control Services","","","455 Ribbon Beach Way","Oceanside","CA","92058","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"25. ","Pinpoint Pest Control","(760) 966-1100","https://www.yellowpages.com/oceanside-ca/mip/pinpoint-pest-control-467863834","Pest Control Services","http://pinpointpestcontrol.com","","1927 Lincoln St","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"26. ","K & M Pest Solutions","(760) 547-5555","https://www.yellowpages.com/oceanside-ca/mip/k-m-pest-solutions-527507491","Pest Control Services","http://kmpest.com","","2182 S El Camino Real","Oceanside","CA","92054","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"27. ","Antbusters Inc","(760) 721-7719","https://www.yellowpages.com/oceanside-ca/mip/antbusters-inc-468507638","Pest Control Services","http://www.antbusters.com","","233 N El Camino Real","Oceanside","CA","92058","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"28. ","Pinpoint Pest Control Fax","(760) 966-0909","https://www.yellowpages.com/oceanside-ca/mip/pinpoint-pest-control-fax-5024141","Pest Control Services","","","PO Box 751","Oceanside","CA","92049","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
"29. ","Bugs Bee Dead","(760) 439-9603","https://www.yellowpages.com/oceanside-ca/mip/bugs-bee-dead-533850595","Pest Control Services,Bee Control & Removal Service","http://bugsbeedead.com","","PO Box 358","Oceanside","CA","92049","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Oceanside,%20California"
