"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","First Choice Pest Control","(401) 369-3981","https://www.yellowpages.com/providence-ri/mip/first-choice-pest-control-508931087?lid=1001083209040","Pest Control Services,Termite Control,Bee Control & Removal Service","http://www.providencepestcontrol.net","","","Providence","RI","02940","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"2. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"3. ","Flynn Pest Control","(774) 565-4052","https://www.yellowpages.com/rehoboth-ma/mip/flynn-pest-control-2437252?lid=1001932038288","Pest Control Services,Pest Control Equipment & Supplies,Pest Control Services-Commercial & Industrial","http://www.flynnpestcontrol.com","","32 Anawan St","Rehoboth","MA","02769","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"4. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"5. ","Arrest-A-Pest","(401) 680-9818","https://www.yellowpages.com/warwick-ri/mip/arrest-a-pest-6492624?lid=1001989101054","Pest Control Services,Professional Engineers,Pest Control Equipment & Supplies","https://arrestapest.com","","99 Brownlee Blvd","Warwick","RI","02886","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"6. ","Chepachet Hardware","(401) 285-0262","https://www.yellowpages.com/chepachet-ri/mip/chepachet-hardware-469956888?lid=1001800892595","Pest Control Services,Liquor Stores,Beer & Ale","http://www.chepachethardware.com","","916 Putnam Pike","Chepachet","RI","02814","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"7. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/north-scituate-ri/mip/orkin-pest-termite-control-456401461?lid=1002080467052","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","54 Old Quarry Rd","North Scituate","RI","02857","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"8. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417172","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"9. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042123","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"10. ","Advantage Home Inspection","(401) 935-6547","https://www.yellowpages.com/cranston-ri/mip/advantage-home-inspection-16103121?lid=1001147467672","Pest Control Services,Mold Remediation,Tank-Testing & Inspection","http://www.advantagehomeinspections.us","","23 Preston Dr","Cranston","RI","02910","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"11. ","Big Blue Bug Solutions","(401) 941-5700","https://www.yellowpages.com/providence-ri/mip/big-blue-bug-solutions-2418303","Pest Control Services,Bee Control & Removal Service,Bird Barriers, Repellents & Controls","http://www.bigbluebug.com/contact-us/pest-control-service-area/providence-pest-control","","161 Oconnell St","Providence","RI","02905","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"12. ","A One Pest Control Co.","(401) 351-4023","https://www.yellowpages.com/providence-ri/mip/a-one-pest-control-co-503986207","Pest Control Services","","","433 Atwells Ave","Providence","RI","02909","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"13. ","DaBomb Pest Control","(401) 305-0647","https://www.yellowpages.com/providence-ri/mip/dabomb-pest-control-503763199","Pest Control Services","http://dabombpestcontrol.com","","107 Merino St","Providence","RI","02909","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"14. ","Certified Pest Control Co Inc","(401) 351-3000","https://www.yellowpages.com/providence-ri/mip/certified-pest-control-co-inc-465036032","Pest Control Services","","","","Providence","RI","02903","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"15. ","Bug Out Pest Control","(401) 648-2113","https://www.yellowpages.com/providence-ri/mip/bug-out-pest-control-18008317","Pest Control Services","http://www.bugoutpestcontrolne.com","","","Providence","RI","02901","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"16. ","Pioneer Wildlife","(401) 331-7378","https://www.yellowpages.com/providence-ri/mip/pioneer-wildlife-456536407","Pest Control Services","","","234 Washington St","Providence","RI","02903","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"17. ","Cobra Pest Control","(401) 490-0919","https://www.yellowpages.com/providence-ri/mip/cobra-pest-control-461407381","Pest Control Services","http://www.cobrapest.com","","884 Branch Ave","Providence","RI","02904","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"18. ","Ridall Exterminating Inc","(401) 274-7070","https://www.yellowpages.com/providence-ri/mip/ridall-exterminating-inc-455950013","Pest Control Services","","","187 Academy Ave","Providence","RI","02908","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"19. ","A-One Pest Control Co","(401) 351-4023","https://www.yellowpages.com/providence-ri/mip/a-one-pest-control-co-11195330","Pest Control Services,Real Estate Inspection Service","","","52 Lynde St","Providence","RI","02908","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"20. ","Griggs & Browne Co Inc","(401) 944-3400","https://www.yellowpages.com/providence-ri/mip/griggs-browne-co-inc-2197565","Pest Control Services,Real Estate Inspection Service","http://www.griggsbrowne.com","","175 Niantic Ave","Providence","RI","02907","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"21. ","New England Pest Control","(401) 847-9296","https://www.yellowpages.com/providence-ri/mip/new-england-pest-control-488570484","Pest Control Services,Termite Control","","","161 Oconnell St","Providence","RI","02905","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"22. ","Dominion Pest Control","(401) 861-7378","https://www.yellowpages.com/providence-ri/mip/dominion-pest-control-10770773","Pest Control Services,Real Estate Inspection Service,Bee Control & Removal Service","http://www.861pest.com","","185 Unit St","Providence","RI","02909","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"23. ","Pest Patrol Inc","(401) 463-3116","https://www.yellowpages.com/cranston-ri/mip/pest-patrol-inc-11064892","Pest Control Services","","","1255 Oaklawn Ave","Cranston","RI","02920","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"24. ","ABC Pest Control","(401) 944-8438","https://www.yellowpages.com/johnston-ri/mip/abc-pest-control-6042814","Pest Control Services","http://abcpestcontrol.net","","7 Water St","Johnston","RI","02919","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"25. ","Pest Pro Svc","(401) 639-1206","https://www.yellowpages.com/cranston-ri/mip/pest-pro-svc-23585307","Pest Control Services","","","","Cranston","RI","02910","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"26. ","Pest Control Services in East Providence, RI","(401) 200-4392","https://www.yellowpages.com/east-providence-ri/mip/pest-control-services-in-east-providence-ri-555587390","Pest Control Services,Pest Control Equipment & Supplies","","","315 Waterman Ave","East Providence","RI","02914","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"27. ","Encon Pest Control","(401) 228-3347","https://www.yellowpages.com/cranston-ri/mip/encon-pest-control-493830031","Pest Control Services,Bee Control & Removal Service,Pest Control Services-Commercial & Industrial","http://enconri.com","","11 Auburn St","Cranston","RI","02910","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"28. ","BUG OUT Pest Control","(401) 453-0075","https://www.yellowpages.com/riverside-ri/mip/bug-out-pest-control-486251577","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","http://www.bugoutpestcontrolne.com","","105 Burnside Ave","Riverside","RI","02915","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"29. ","Mosquito Assassins","(800) 974-5077","https://www.yellowpages.com/cumberland-ri/mip/mosquito-assassins-509704570","Pest Control Services,Pest Control Services-Commercial & Industrial","","","25 Homestead Rd","Cumberland","RI","02864","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
"30. ","Guardian Pest Control Inc.","(401) 434-7418","https://www.yellowpages.com/east-providence-ri/mip/guardian-pest-control-inc-22232169","Pest Control Services","http://www.guardianpestri.com","","391 Warren Ave","East Providence","RI","02914","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Providence,%20Rhode%20Island"
