"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/raleigh-nc/mip/orkin-pest-termite-control-475511296?lid=1002083880705","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","8810 Westgate Park Dr Ste 106","Raleigh","NC","27617","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"2. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/raleigh-nc/mip/orkin-pest-termite-control-475518592?lid=1002080468202","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","609 Mercury St","Raleigh","NC","27603","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"3. ","Pest & Termite Consultants Inc","(919) 870-8003","https://www.yellowpages.com/raleigh-nc/mip/pest-termite-consultants-inc-503143292?lid=1001840960813","Pest Control Services,Pest Control Equipment & Supplies,Pest Control Services-Commercial & Industrial","http://www.pestandtermiteconsultants.com","","5101 Old Poole Rd","Raleigh","NC","27610","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"4. ","Moxie Pest Control","(919) 781-8200","https://www.yellowpages.com/raleigh-nc/mip/moxie-pest-control-496282744?lid=1000437171060","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","https://www.moxieservices.com/locations","","2401 Brentwood Rd","Raleigh","NC","27604","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"5. ","Smith Exterminating","(919) 851-0220","https://www.yellowpages.com/raleigh-nc/mip/smith-exterminating-532222001?lid=1001355020187","Pest Control Services,Animal Removal Services,Termite Control","","","5507 Hillsborough St","Raleigh","NC","27606","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"6. ","Triangle Wildlife Removal & Pest Control Inc","(919) 661-0722","https://www.yellowpages.com/raleigh-nc/mip/triangle-wildlife-removal-pest-control-inc-451073016?lid=1000883920882","Pest Control Services,Animal Removal Services,Chimney Contractors","http://www.trianglewildliferemoval.com","","1913 Lost Cove Ln","Raleigh","NC","27603","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"7. ","Dodson Pest Control","(800) 931-1354","https://www.yellowpages.com/nationwide/mip/dodson-pest-control-534380813?lid=1002046552504","Pest Control Services,Pest Control Services-Commercial & Industrial,Termite Control","http://www.dodsonbros.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"8. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"9. ","Dodson Pest Control","(919) 948-7659","https://www.yellowpages.com/knightdale-nc/mip/dodson-pest-control-560628905?lid=1002033451163","Pest Control Services,Pest Control Services-Commercial & Industrial,Bird Barriers, Repellents & Controls","https://www.dodsonbros.com","","8400 Poole Rd","Knightdale","NC","27545","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"10. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697520","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"11. ","Dodson Pest Control","(919) 695-9939","https://www.yellowpages.com/nationwide/mip/dodson-pest-control-560628912?lid=1002033451175","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.dodsonbros.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"12. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"13. ","Whitco Termite & Pest Control","(252) 517-0147","https://www.yellowpages.com/henderson-nc/mip/whitco-termite-pest-control-7739450?lid=1002067288055","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","http://www.whitcobugwarriors.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"14. ","Branch Exterminating Co., Inc.","(252) 654-0050","https://www.yellowpages.com/henderson-nc/mip/branch-exterminating-co-inc-15040661?lid=1002042638101","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://branchexterminating.net","","219 Dabney Dr","Henderson","NC","27536","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"15. ","Whitco Termite & Pest Control","(919) 528-5506","https://www.yellowpages.com/franklinton-nc/mip/whitco-termite-pest-control-531191693?lid=1002014471520","Pest Control Services,Waterproofing Contractors,Termite Control","http://www.whitcobugwarriors.com","","2000 Nc Highway 96","Franklinton","NC","27525","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"16. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417132","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"17. ","A & S Pest Control","(252) 517-3222","https://www.yellowpages.com/norlina-nc/mip/a-s-pest-control-8367583?lid=1002099377272","Pest Control Services","http://www.aspestcontrolinc.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
"18. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042105","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Raleigh,%20North%20Carolina"
