"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Clark Pest Control","(877) 772-3989","https://www.yellowpages.com/nationwide/mip/clark-pest-control-30426665?lid=1002046843880","Pest Control Services,Landscaping & Lawn Services,Lawn Maintenance","http://www.clarkpest.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"2. ","Ecola Termite and Pest Control Services","(805) 206-3991","https://www.yellowpages.com/nationwide/mip/ecola-termite-and-pest-control-services-564773920?lid=1002081796046","Pest Control Services,Insect Control Devices,Bird Barriers, Repellents & Controls","https://www.ecolatermite.com/?=16","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"3. ","Newport Exterminating","(949) 743-3889","https://www.yellowpages.com/irvine-ca/mip/newport-exterminating-549909688?lid=171692579","Pest Control Services,Bee Control & Removal Service,Termite Control","http://newportexterminating.com","","16661 Millikan Ave","Irvine","CA","92606","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"4. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"5. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697597","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"6. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"7. ","Newport Exterminating","(949) 529-3736","https://www.yellowpages.com/irvine-ca/mip/newport-exterminating-2047210?lid=1002004642166","Pest Control Services,Pest Control Equipment & Supplies,Bee Control & Removal Service","http://www.newportexterminating.com","","16661 Millikan Ave","Irvine","CA","92606","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"8. ","Clark Pest Control","(949) 220-2952","https://www.yellowpages.com/lake-forest-ca/mip/clark-pest-control-545255696?lid=1002041485826","Pest Control Services,Bee Control & Removal Service,Termite Control","http://api.citygridmedia.com/content/places/v2/click?q=urVBa6moXC5S9VPyC16BYBn_NxLXMVobS_8vbcyI69_gxb4CfBJy9OKohTker_VRQUs_rkabzY8Aw-E7wg8PzxGIRE6Qeb1zffG2kRjt9wW32cq9uCECkL8wpv5bmgpnApYw8Hv5i9aH2dq7yVWxPwwIrZe_Au5IurgHUvLu5wEmR1jcTLTjdjxRpY06Ye_hjkFTpYnZO-uBMakHT50ynjJrqoVuh3kxy0KMO3diajEIaih4TXzr_TiEGCuwW4PLHXS0xMkye8pQn6AvyrFYQqHdqL1Hb9AisAwAldS_DaRf0p34VHGcA2h4k-stcGa1tqL2fkWTEuLPjxWkt_bwSiflpwydT62BP4PAXPXELe-8E2XbayIUFdD7t0WLzGDYfLToLDFolUsdMlVE8qFO_Kn3Tewzutd1w4DaqYVCsLjUg876MJkp4GgG42pgFx5r","","26822 Vista Ter","Lake Forest","CA","92630","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"9. ","Bee Removers","(888) 714-8240","https://www.yellowpages.com/nationwide/mip/bee-removers-474065684?lid=1001185262889","Pest Control Services,Bee Control & Removal Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"10. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417187","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"11. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042111","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"12. ","Ecola Termite and Pest Control Services","(805) 422-7389","https://www.yellowpages.com/simi-valley-ca/mip/ecola-termite-and-pest-control-services-462007408?lid=1002081182047","Pest Control Services,Pest Control Equipment & Supplies,Bird Barriers, Repellents & Controls","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"13. ","Total Exterminating","(888) 628-6825","https://www.yellowpages.com/chino-ca/mip/total-exterminating-22751544?lid=1002026376293","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://5759131.cstsite.com","","","Chino","CA","91710","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"14. ","Clark Pest Control","(888) 208-4638","https://www.yellowpages.com/nationwide/mip/clark-pest-control-457906687?lid=1002045566167","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"15. ","Pacific Coast Termite Inc.","(866) 442-8976","https://www.yellowpages.com/tustin-ca/mip/pacific-coast-termite-inc-468213614?lid=1001941706328","Pest Control Services,Termite Control","https://www.yellowpages.com?reference_id=0&publisher=yellowpages&placement=ypwebsitesrpr&action_target=listing_website","","14711 Bentley Cir Ste B","Tustin","CA","92780","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"16. ","Swarm Pest Control","(714) 235-7548","https://www.yellowpages.com/santa-ana-ca/mip/swarm-pest-control-453520383","Pest Control Services,Bee Control & Removal Service,Pest Control Services-Commercial & Industrial","http://www.swarmpc.com","","2105 Jetty Cir","Santa Ana","CA","92706","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"17. ","Aguirre Fumigation","(714) 953-7616","https://www.yellowpages.com/santa-ana-ca/mip/aguirre-fumigation-7838405","Pest Control Services,Termite Control","http://www.aguirrefumigation.com","","927 E Pine St","Santa Ana","CA","92701","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"18. ","Mike Falduto Fumigation","(714) 531-4500","https://www.yellowpages.com/santa-ana-ca/mip/mike-falduto-fumigation-450979507","Pest Control Services","http://www.orangecountyfumigation.com","","4227 W Regent Dr","Santa Ana","CA","92704","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"19. ","Corkys Pest Control","(714) 549-9525","https://www.yellowpages.com/santa-ana-ca/mip/corkys-pest-control-551963002","Pest Control Services","http://corkyspest.com","","1262 S Lyon St","Santa Ana","CA","92705","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"20. ","Lloyd Pest & Termite Control","(866) 843-1348","https://www.yellowpages.com/santa-ana-ca/mip/lloyd-pest-termite-control-16942642","Pest Control Services,Pest Control Equipment & Supplies,Insecticides","http://www.lloydpest.com/service-areas/orange-county/santa-ana-pest-control","","566 E Dyer Rd","Santa Ana","CA","92707","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"21. ","Bee Busters","(949) 497-6264","https://www.yellowpages.com/santa-ana-ca/mip/bee-busters-548393610","Pest Control Services","http://beebusters.com","","1800 N Bristol St","Santa Ana","CA","92706","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"22. ","La Placa Exterminating Inc","(714) 540-0200","https://www.yellowpages.com/santa-ana-ca/mip/la-placa-exterminating-inc-482231841","Pest Control Services","http://www.laplaca.com","","2039 S Lyon St","Santa Ana","CA","92705","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"23. ","Hydrex Pest Control of California","(866) 640-4107","https://www.yellowpages.com/santa-ana-ca/mip/hydrex-pest-control-of-california-535126718","Pest Control Services,Bee Control & Removal Service,Pest Control Services-Commercial & Industrial","","","","Santa Ana","CA","92707","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"24. ","Mecaf Termite and Pest Control","(714) 760-4546","https://www.yellowpages.com/santa-ana-ca/mip/mecaf-termite-and-pest-control-567914999","Pest Control Services","","","302 N Townsend St","Santa Ana","CA","92703","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"25. ","Valencia Termite Control","(714) 396-9034","https://www.yellowpages.com/santa-ana-ca/mip/valencia-termite-control-503115377","Pest Control Services,Termite Control","","","1005 Aspen St","santa ana","CA","92706","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"26. ","Swarm Pest Control","(714) 468-5370","https://www.yellowpages.com/santa-ana-ca/mip/swarm-pest-control-502977458","Pest Control Services,Animal Removal Services","http://www.swarmpc.com","","PO Box 6532","Santa Ana","CA","92706","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"27. ","JC Ehrlich","(714) 200-1003","https://www.yellowpages.com/santa-ana-ca/mip/jc-ehrlich-495710586","Pest Control Services","","","2201 Ritchey St","Santa Ana","CA","92705","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"28. ","RNG Fume","(714) 605-1486","https://www.yellowpages.com/santa-ana-ca/mip/rng-fume-505568726","Pest Control Services","","","2214 W Moore Ave","Santa Ana","CA","92704","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"29. ","K K Termite & Pest Control","(949) 322-0002","https://www.yellowpages.com/santa-ana-ca/mip/k-k-termite-pest-control-158073","Pest Control Services","http://kktermite.com","","","Santa Ana","CA","92701","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
"30. ","Vint Pest Control","(714) 542-7881","https://www.yellowpages.com/santa-ana-ca/mip/vint-pest-control-18499772","Pest Control Services","","","","Santa Ana","CA","92701","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Ana,%20California"
