"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Clark Pest Control","(707) 297-3451","https://www.yellowpages.com/santa-rosa-ca/mip/clark-pest-control-545996075?lid=1002041485950","Pest Control Services,Landscaping & Lawn Services,Bee Control & Removal Service","http://www.clarkpest.com","","3215 Brickway Blvd","Santa Rosa","CA","95403","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Rosa,%20California"
"2. ","Clark Pest Control","(707) 921-1290","https://www.yellowpages.com/santa-rosa-ca/mip/clark-pest-control-567142236?lid=1002091419868","Pest Control Services,Weed Control Service,Termite Control","http://www.clarkpest.com","","3215 Brickway Blvd Santa Rosa","Santa Rosa","CA","95403","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Rosa,%20California"
"3. ","Stellar Termite Services","(707) 575-7827","https://www.yellowpages.com/santa-rosa-ca/mip/stellar-termite-services-475359027?lid=1000722661836","Pest Control Services,Bee Control & Removal Service,Animal Removal Services","http://www.stellar-termite.com","","","Santa Rosa","CA","95404","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Rosa,%20California"
"4. ","Clark Pest Control","(877) 772-3989","https://www.yellowpages.com/nationwide/mip/clark-pest-control-30426665?lid=1002046843910","Pest Control Services,Landscaping & Lawn Services,Lawn Maintenance","http://www.clarkpest.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Rosa,%20California"
"5. ","Armed Force Pest Control Inc","(707) 809-5250","https://www.yellowpages.com/middletown-ca/mip/armed-force-pest-control-inc-457308318?lid=1001540039284","Pest Control Services,Weed Control Service,Landscaping & Lawn Services","https://armedforcepest.com/","","18255 Vintage Ct Ste D","Middletown","CA","95461","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Rosa,%20California"
"6. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Rosa,%20California"
"7. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697499","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Rosa,%20California"
"8. ","Crane Pest Control","(628) 222-5544","https://www.yellowpages.com/san-francisco-ca/mip/crane-pest-control-504725211?lid=1001656204654","Pest Control Services,Pest Control Services-Commercial & Industrial,Pest Control Equipment & Supplies","http://www.cranepestcontrol.com/?utm_source=yp&utm_campaign=yp_platadv&utm_medium=iyp","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Rosa,%20California"
"9. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Rosa,%20California"
"10. ","Official Pest Prevention","(866) 203-6949","https://www.yellowpages.com/nationwide/mip/official-pest-prevention-564924885?lid=1002083806457","Pest Control Services,Pest Control Services-Commercial & Industrial,Animal Removal Services","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Rosa,%20California"
"11. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417187","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Rosa,%20California"
"12. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042111","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Santa%20Rosa,%20California"
