"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/scottsdale-az/mip/orkin-pest-termite-control-472770390?lid=1002080468092","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","7410 E Helm Dr","Scottsdale","AZ","85260","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"2. ","Eggen Weed Control","(602) 996-1000","https://www.yellowpages.com/scottsdale-az/mip/eggen-weed-control-6563774?lid=1002018166484","Pest Control Services,Pest Control Equipment & Supplies,Lawn & Garden Equipment & Supplies","","","7619 E Greenway Rd Ste 8","Scottsdale","AZ","85260","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"3. ","Blue Sky Pest Control","(602) 529-2041","https://www.yellowpages.com/phoenix-az/mip/blue-sky-pest-control-476362815?lid=1001441992793","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","http://www.blueskypest.com","","9034 N 23rd Ave","Phoenix","AZ","85021","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"4. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"5. ","Carter Weed Control","(480) 397-0367","https://www.yellowpages.com/gilbert-az/mip/carter-weed-control-12182418?lid=1000144139840","Pest Control Services,Pest Control Equipment & Supplies,Bee Control & Removal Service","http://www.carterweed.com/","","806 W Harvard Ave","Gilbert","AZ","85233","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"6. ","Eliminex, Phoenix","(480) 485-6301","https://www.yellowpages.com/phoenix-az/mip/eliminex-phoenix-544896981?lid=1002038030849","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.eliminexpest.com","","2338 W Royal Palm Rd","Phoenix","AZ","85021","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"7. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"8. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417037","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"9. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042141","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"10. ","Blue Sky Pest Control","(480) 447-9489","https://www.yellowpages.com/gilbert-az/mip/blue-sky-pest-control-10111003?lid=1001447453468","Pest Control Services,Insecticides,Pest Control Equipment & Supplies","http://www.blueskypest.com/","","1936 W Rawhide Ave","Gilbert","AZ","85233","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"11. ","Cummings Termite & Pest Control","(480) 994-9599","https://www.yellowpages.com/fountain-hills-az/mip/cummings-termite-pest-control-10025910?lid=1000437165624","Pest Control Services,Inspection Service,Pest Control Services-Commercial & Industrial","","","16918 E Colony Dr","Fountain Hills","AZ","85268","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"12. ","We Seal It Desert Proofing Specialists Pest Control","(602) 866-3560","https://www.yellowpages.com/scottsdale-az/mip/we-seal-it-desert-proofing-specialists-pest-control-9219566","Pest Control Services,Weather Stripping Contractors,General Contractors","","","11445 E Via Linda Ste 2","Scottsdale","AZ","85259","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"13. ","Bulwark Exterminating","(480) 733-1688","https://www.yellowpages.com/scottsdale-az/mip/bulwark-exterminating-481609234","Pest Control Services","http://www.bulwarkpestcontrol.com","","8776 E Shea Blvd Ste 106","Scottsdale","AZ","85260","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"14. ","Terminix","(480) 447-9863","https://www.yellowpages.com/scottsdale-az/mip/terminix-558817619","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","http://www.terminix.com","","7845 E Gelding Dr Ste 105","Scottsdale","AZ","85260","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"15. ","Western Exterminator","(480) 357-7775","https://www.yellowpages.com/scottsdale-az/mip/western-exterminator-18696731","Pest Control Services,Termite Control","http://www.westernexterminator.com","","7908 E Chaparral Rd","Scottsdale","AZ","85250","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"16. ","Watts Pest Prevention","(480) 424-5475","https://www.yellowpages.com/scottsdale-az/mip/watts-pest-prevention-497468785","Pest Control Services","https://wattspest.com","","1776 N Scottsdale Rd","Scottsdale","AZ","85252","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"17. ","Environmental Pest & Termite Control","(480) 945-0888","https://www.yellowpages.com/scottsdale-az/mip/environmental-pest-termite-control-504578350","Pest Control Services,Termite Control","http://www.goenvironmentalpest.com","","625 N 74th Pl","Scottsdale","AZ","85257","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"18. ","AA Rodents Control","(480) 382-9011","https://www.yellowpages.com/scottsdale-az/mip/aa-rodents-control-533802782","Pest Control Services","http://www.hudsonwildliferemoval.webs.com","","10250 E Mountain View Rd","Scottsdale","AZ","85258","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
"19. ","Pest Control Consultants","(480) 391-2414","https://www.yellowpages.com/scottsdale-az/mip/pest-control-consultants-3755257","Pest Control Services","http://pestcontrolconsultants.com","","11120 N 107th Way","Scottsdale","AZ","85259","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Scottsdale,%20Arizona"
