"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","CES Pest & Termite Control","(314) 353-1101","https://www.yellowpages.com/saint-louis-mo/mip/ces-pest-termite-control-461716949?lid=1002103328571","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","http://www.cespestcontrol.com","","8620 Gravois Rd","Saint Louis","MO","63123","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"2. ","Apple Exterminating","(314) 631-9494","https://www.yellowpages.com/saint-louis-mo/mip/apple-exterminating-18932131?lid=1001720350793","Pest Control Services,Inspection Service,Pest Control Services-Commercial & Industrial","http://www.appleexterminating.com","","9613 S Broadway","Saint Louis","MO","63125","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"3. ","Antimite Pest Control & Termite Experts","(314) 431-0202","https://www.yellowpages.com/saint-louis-mo/mip/antimite-pest-control-termite-experts-551326583?lid=1001429960592","Pest Control Services,Pest Control Equipment & Supplies,Insecticides","","","11414 Gravois Rd","Saint Louis","MO","63126","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"4. ","B & D Pest Solutions, St. Louis","(314) 644-8734","https://www.yellowpages.com/saint-louis-mo/mip/b-d-pest-solutions-st-louis-523766072?lid=1001525560143","Pest Control Services,Termite Control,Bee Control & Removal Service","https://bdpestsolutions.com/exterminator-st-louis","","4639 Baumgartner Rd","Saint Louis","MO","63129","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"5. ","Safe-Way Pest & Wildlife Control","(314) 432-7233","https://www.yellowpages.com/saint-louis-mo/mip/safe-way-pest-wildlife-control-461725919?lid=1000820236948","Pest Control Services,Bee Control & Removal Service,Animal Removal Services","http://www.safe-waypest.com","","9631 Dielman Rock Island Industrl Dr","Saint Louis","MO","63132","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"6. ","Mehlville Termite & Pest Control","(314) 487-8875","https://www.yellowpages.com/saint-louis-mo/mip/mehlville-termite-pest-control-483472123?lid=1001988914705","Pest Control Services,Real Estate Inspection Service,Termite Control","http://pitmanfamily.com","","","Saint Louis","MO","63129","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"7. ","Eagle Termite & Pest Control","(636) 978-7378","https://www.yellowpages.com/saint-peters-mo/mip/eagle-termite-pest-control-31212484?lid=179262614","Pest Control Services,Animal Removal Services,Termite Control","http://www.eagletermiteandpestcontrol.com","","","Saint Peters","MO","63376","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"8. ","Midwestern Pest Control","(314) 838-1121","https://www.yellowpages.com/florissant-mo/mip/midwestern-pest-control-4064238?lid=1002017221978","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://www.midwesternpestcontrol.com","","700 Rue Saint Francois St","Florissant","MO","63031","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"9. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"10. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697611","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"11. ","MO's Pest Control","(314) 651-5775","https://www.yellowpages.com/nationwide/mip/mos-pest-control-474492288?lid=1001810199889","Pest Control Services,Pest Control Equipment & Supplies,Insect Control Devices","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"12. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"13. ","Bay's Termite & Pest Control","(636) 947-6977","https://www.yellowpages.com/wentzville-mo/mip/bays-termite-pest-control-25245052?lid=1002101529263","Pest Control Services,Waterproofing Contractors,Termite Control","http://baystermiteandpestcontrol.com","","3203 Hopewell Rd","Wentzville","MO","63385","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"14. ","Archwest Termite Control","(636) 946-1852","https://www.yellowpages.com/saint-charles-mo/mip/archwest-termite-control-523120113?lid=1002035757643","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://stltermiteinspectors.com","","205 N 5th St","Saint Charles","MO","63301","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"15. ","24-7 Animal & Pest Control","(314) 338-2614","https://www.yellowpages.com/nationwide/mip/24-7-animal-pest-control-483915673?lid=1002014442503","Pest Control Services,Animal Removal Services","http://www.24sevenpest.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"16. ","All Star Animal Patrol","(636) 734-1679","https://www.yellowpages.com/nationwide/mip/all-star-animal-patrol-21871557?lid=1001930064025","Pest Control Services,Animal Removal Services","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"17. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417062","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"18. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042087","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"19. ","Bees-Bee-Gone Pest Control","(314) 741-2989","https://www.yellowpages.com/black-jack-mo/mip/bees-bee-gone-pest-control-11131664?lid=1001677239570","Pest Control Services,Bee Control & Removal Service,Beekeeping & Supplies","http://www.missourihoney.com","","13520 Old Jamestown Rd","Black Jack","MO","63033","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"20. ","All American Pest Control","(314) 487-0012","https://www.yellowpages.com/nationwide/mip/all-american-pest-control-463966647?lid=1001989104168","Pest Control Services","http://www.allamericanpestcontrol.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"21. ","Midwestern Pest Control","(314) 315-4698","https://www.yellowpages.com/florissant-mo/mip/midwestern-pest-control-567136067?lid=1002046093864","Pest Control Services,Pest Control Services-Commercial & Industrial","https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1653460259851.a8f8384b&ADID=11827521&DEST=https%3A%2F%2Fmidwesternpestcontrol.mydex.com%2FjJqZ8oaGmB4&C=Pest%20Control&T=Florissant&S=MO&PH=(314)%20315-4698&FL=url&TL=off&position=20&PS=30&PI=1&Results=FEED_CLCK&uid=a8f8384b-cef0-4dfe-a987-dfc50ad40619&REF=&IP=185.183.33.19&UserAgent=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F64.0.3282.140%20Safari%2F537.36","","700 Rue Saint Francois St","Florissant","MO","63031","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"22. ","Aptive Environmental","(314) 774-2847","https://www.yellowpages.com/saint-louis-mo/mip/aptive-environmental-525635418","Pest Control Services","https://www.goaptive.com/louis?cid=yp","","10747 Indian Head Industrial Blvd","Saint Louis","MO","63132","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"23. ","Alterra Pest Control","(314) 423-7378","https://www.yellowpages.com/saint-louis-mo/mip/alterra-pest-control-472119413","Pest Control Services","http://www.alterrapest.com","","10747 Indian Head Industrial Blvd","Saint Louis","MO","63132","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"24. ","Rottler Pest & Lawn Solutions","(314) 426-6100","https://www.yellowpages.com/saint-louis-mo/mip/rottler-pest-lawn-solutions-454254403","Pest Control Services","https://www.rottler.com/st-louis-mo-pest-control","","8625 Saint Charles Rock Rd","Saint Louis","MO","63114","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"25. ","Advantage Pest Control Solutions","(314) 558-6512","https://www.yellowpages.com/saint-louis-mo/mip/advantage-pest-control-solutions-454038979","Pest Control Services,Termite Control","http://www.stlpest.com?r=yp5052010","","800 Washington Ave","Saint Louis","MO","63101","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"26. ","Holper's Pest And Animal Solutions","(314) 544-7378","https://www.yellowpages.com/saint-louis-mo/mip/holpers-pest-and-animal-solutions-22997062","Pest Control Services,Animal Shelters","http://www.holperspest.com","","9223 Gravois Rd","Saint Louis","MO","63123","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"27. ","Around the Clock Pest Control","(314) 303-7240","https://www.yellowpages.com/saint-louis-mo/mip/around-the-clock-pest-control-468638859","Pest Control Services","http://www.aroundtheclockpest.com","","","Saint Louis","MO","63122","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"28. ","2020 Exterminating Inc","(314) 772-2020","https://www.yellowpages.com/saint-louis-mo/mip/2020-exterminating-inc-18265701","Pest Control Services","","","2317 S Grand Blvd","Saint Louis","MO","63104","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"29. ","Shamrock Pest Control Inc","(314) 503-4044","https://www.yellowpages.com/saint-louis-mo/mip/shamrock-pest-control-inc-1648102","Pest Control Services","","","5625 S Kingshighway Blvd","Saint Louis","MO","63109","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
"30. ","Critter Ridders","(314) 383-2284","https://www.yellowpages.com/saint-louis-mo/mip/critter-ridders-461519471","Pest Control Services","","","3710 Hamilton Ave","Saint Louis","MO","63120","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Louis,%20Missouri"
