"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/saint-paul-mn/mip/orkin-pest-termite-control-21763550?lid=1002080467132","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","235 Roselawn Ave E Ste 10","Saint Paul","MN","55117","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Paul,%20Minnesota"
"2. ","Be  There Pest Control","(612) 379-8300","https://www.yellowpages.com/saint-paul-mn/mip/be-there-pest-control-9903629?lid=1002070472350","Pest Control Services,Animal Shows & Organizations,Tourist Information & Attractions","https://be-there4you.com","","151 Silver Lake Rd NW","Saint Paul","MN","55112","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Paul,%20Minnesota"
"3. ","Twin City Tree Service","(651) 645-2933","https://www.yellowpages.com/saint-paul-mn/mip/twin-city-tree-service-496524742?lid=1001465361430","Pest Control Services,Arborists,Tree Service","http://tctreecareinc.com","","981 Lydia Dr W","Saint Paul","MN","55113","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Paul,%20Minnesota"
"4. ","Adam's Pest Control","(800) 644-7810","https://www.yellowpages.com/nationwide/mip/adams-pest-control-495715761?lid=1001999203991","Pest Control Services,Pest Control Supply & Equipment-Wholesale & Manufacturers,Pest Control Equipment & Supplies","https://adamspestcontrol.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Paul,%20Minnesota"
"5. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Paul,%20Minnesota"
"6. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Paul,%20Minnesota"
"7. ","Paffy's Pest Control","(651) 401-6950","https://www.yellowpages.com/newport-mn/mip/paffys-pest-control-560698170?lid=1001848362810","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://www.paffyspestcontrol.com","","303 21st St","Newport","MN","55055","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Paul,%20Minnesota"
"8. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417182","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Paul,%20Minnesota"
"9. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042113","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Paul,%20Minnesota"
"10. ","24 Hour Exterminator in Brooklyn, NY","(844) 731-0110","https://www.yellowpages.com/saint-paul-mn/mip/24-hour-exterminator-in-brooklyn-ny-555544100","Pest Control Services,Pest Control Equipment & Supplies","","","2157 Knapp St","Saint Paul","MN","55108","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Paul,%20Minnesota"
"11. ","Valor Pest Solutions St Paul","(763) 777-7010","https://www.yellowpages.com/saint-paul-mn/mip/valor-pest-solutions-st-paul-562277217","Pest Control Services","https://valorpestsolutions.com/st-paul","","1406 Thomas Ave","Saint Paul","MN","55104","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Paul,%20Minnesota"
