"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Amick & Son Inc","(727) 328-9801","https://www.yellowpages.com/saint-petersburg-fl/mip/amick-son-inc-592129?lid=1002104397443","Pest Control Services,Pest Control Equipment & Supplies,Bee Control & Removal Service","http://www.amickpestcontrol.com","","3540 5th Ave N","Saint Petersburg","FL","33713","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"2. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/saint-petersburg-fl/mip/orkin-pest-termite-control-23215580?lid=1002080467080","Pest Control Services,Termite Control,Bee Control & Removal Service","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","3419 18th Ave S","Saint Petersburg","FL","33711","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"3. ","Family Pest Services Inc.","(813) 553-3564","https://www.yellowpages.com/land-o-lakes-fl/mip/family-pest-services-inc-548243978?lid=1002084218075","Pest Control Services,Animal Removal Services,Bee Control & Removal Service","http://www.familypestservices.com","","4608 Land O Lakes Blvd Unit A","Land O Lakes","FL","34639","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"4. ","Best Termite & Pest Control Inc.","(813) 922-2765","https://www.yellowpages.com/tampa-fl/mip/best-termite-pest-control-inc-544195331?lid=175746339","Pest Control Services,Landscaping & Lawn Services,Pest Control Equipment & Supplies","http://www.bestpestmanagement.com","","8120 N Armenia Avenue","Tampa","FL","33604","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"5. ","Pestgo Exterminator Inc","(813) 875-3083","https://www.yellowpages.com/tampa-fl/mip/pestgo-exterminator-inc-475647050?lid=1002004257000","Pest Control Services,Landscaping & Lawn Services,Pest Control Equipment & Supplies","https://www.pestgoexterminatorsinc.com","","4425 N Cortez Ave","Tampa","FL","33614","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"6. ","Phoenix Pest Management & Wildlife Control","(813) 553-3572","https://www.yellowpages.com/tarpon-springs-fl/mip/phoenix-pest-management-wildlife-control-515485224?lid=1002067781498","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://phoenixpestpros.com","","705 Live Oak St Ste G","Tarpon Springs","FL","34689","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"7. ","A Brandon Pest Control","(813) 685-7711","https://www.yellowpages.com/valrico-fl/mip/a-brandon-pest-control-545097746?lid=1002063120669","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://brandonpest.com","","108 S Saint Cloud Ave","Valrico","FL","33594","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"8. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"9. ","Best Termite & Pest Control, Inc","(813) 337-7731","https://www.yellowpages.com/tampa-fl/mip/best-termite-pest-control-inc-11572438?lid=1002067553781","Pest Control Services,Termite Control,Landscaping & Lawn Services","https://www.bestpestmanagement.com","","8120 N Armenia Ave","Tampa","FL","33604","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"10. ","Eagle Lawn Care & Pest Control","(727) 477-0252","https://www.yellowpages.com/largo-fl/mip/eagle-lawn-care-pest-control-547330342?lid=1002069199752","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.eaglelawncarefl.com","","8217 Ulmerton Rd","Largo","FL","33771","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"11. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"12. ","Cross Pest Control","(813) 754-1571","https://www.yellowpages.com/plant-city-fl/mip/cross-pest-control-9702363?lid=1002004662322","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","https://www.crosspestcontrols.com","","606 S Evers St","Plant City","FL","33563","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"13. ","Affordable Exterminating Inc","(727) 626-2174","https://www.yellowpages.com/pinellas-park-fl/mip/affordable-exterminating-inc-6301039?lid=1002099377049","Pest Control Services,Pest Control Equipment & Supplies","http://affordablepest.com","","4971 72nd Ave N","Pinellas Park","FL","33781","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"14. ","Bug Busters","(727) 608-5615","https://www.yellowpages.com/clearwater-fl/mip/bug-busters-483622210?lid=1002102211886","Pest Control Services,Chemicals,Pest Control Equipment & Supplies","http://www.bugbustersusa.com","","1281 S Missouri Ave","Clearwater","FL","33756","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"15. ","BUG-OFF Pest Management","(727) 626-2391","https://www.yellowpages.com/palm-harbor-fl/mip/bug-off-pest-management-502141786?lid=1001916674623","Pest Control Services,Pest Control Equipment & Supplies,Pest Control Services-Commercial & Industrial","","","3848 Drayton Way","Palm Harbor","FL","34685","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"16. ","Impact Pest Elimination","(727) 938-6273","https://www.yellowpages.com/tarpon-springs-fl/mip/impact-pest-elimination-7351934?lid=1002103410995","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","http://www.impactpest.com","","501 E Lemon St","Tarpon Springs","FL","34689","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"17. ","Emory Brantley & Sons Termite and Pest Control Inc.","(727) 315-0364","https://www.yellowpages.com/pinellas-park-fl/mip/emory-brantley-sons-termite-and-pest-control-inc-22778074?lid=1001781863202","Pest Control Services,Pest Control Equipment & Supplies,Chemicals","http://www.emorybrantleyandsons.com","","6587 66th Ave N","Pinellas Park","FL","33781","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"18. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/pinellas-park-fl/mip/orkin-pest-termite-control-475518599?lid=1002080467233","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","3755 68th Ave N","Pinellas Park","FL","33781","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
"19. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/clearwater-fl/mip/orkin-pest-termite-control-475518566?lid=1002079891471","Pest Control Services,Termite Control,Bee Control & Removal Service","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","1780 N Hercules Ave","Clearwater","FL","33765","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=St.%20Petersburg,%20Florida"
