"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Area Wide Exterminators","(209) 941-3588","https://www.yellowpages.com/stockton-ca/mip/area-wide-exterminators-544201778?lid=171660587","Pest Control Services,Weed Control Service,Landscaping & Lawn Services","http://www.areawidepest.com","","2239 Country Club Blvd","Stockton","CA","95204","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"2. ","A-1 Exterminators","(209) 642-4879","https://www.yellowpages.com/stockton-ca/mip/a-1-exterminators-475365802?lid=1002067556600","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.a-1exterminators.com","","805 E Harding Way","Stockton","CA","95205","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"3. ","Clark Pest Control","(209) 684-0048","https://www.yellowpages.com/stockton-ca/mip/clark-pest-control-2700284?lid=1002041485974","Pest Control Services,Termite Control,Bee Control & Removal Service","http://www.clarkpest.com","","4816 Clowes St","Stockton","CA","95210","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"4. ","Clark Pest Control","(209) 800-1068","https://www.yellowpages.com/stockton-ca/mip/clark-pest-control-567142231?lid=1002091490045","Pest Control Services,Termite Control,Lawn Maintenance","http://www.clarkpest.com","","4816 Clowes Road Stockton","Stockton","CA","95210","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"5. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/stockton-ca/mip/orkin-pest-termite-control-21998282?lid=1002080467215","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","3663 Arch Rd Ste G","Stockton","CA","95215","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"6. ","California Pest Control","(209) 242-2784","https://www.yellowpages.com/stockton-ca/mip/california-pest-control-482093946?lid=1000538367446","Pest Control Services,Pest Control Services-Commercial & Industrial,Bee Control & Removal Service","http://www.calpestcontrol.net","","","Stockton","CA","95209","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"7. ","BJ's Consumer's Choice Pest Control","(209) 475-5173","https://www.yellowpages.com/manteca-ca/mip/bjs-consumers-choice-pest-control-481598772?lid=1002044019975","Pest Control Services","https://bjsconsumerschoicepestcontrol.com/","","1726 N Main St","Manteca","CA","95336","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"8. ","Clark Pest Control","(877) 772-3989","https://www.yellowpages.com/nationwide/mip/clark-pest-control-30426665?lid=1002046843913","Pest Control Services,Landscaping & Lawn Services,Lawn Maintenance","http://www.clarkpest.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"9. ","Bell Pest Control","(209) 645-5833","https://www.yellowpages.com/elk-grove-ca/mip/bell-pest-control-21991566?lid=1001809509044","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://www.bellpest.com","","9136 Elkmont Way #C","Elk Grove","CA","95624","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"10. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"11. ","Area Wide Exterminators","(209) 490-0797","https://www.yellowpages.com/nationwide/mip/area-wide-exterminators-21996848?lid=1002069220826","Pest Control Services,Pest Control Services-Commercial & Industrial,Termite Control","http://www.areawidepest.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"12. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697499","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"13. ","Crane Pest Control","(628) 222-5544","https://www.yellowpages.com/san-francisco-ca/mip/crane-pest-control-504725211?lid=1001656204654","Pest Control Services,Pest Control Services-Commercial & Industrial,Pest Control Equipment & Supplies","http://www.cranepestcontrol.com/?utm_source=yp&utm_campaign=yp_platadv&utm_medium=iyp","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"14. ","Animal  Damage Control","(209) 838-3423","https://www.yellowpages.com/nationwide/mip/animal-damage-control-495864897?lid=1000433334552","Pest Control Services,Pest Control Services-Commercial & Industrial,Animal Removal Services","http://animaldamagecontrol.yolasite.com/","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"15. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"16. ","Official Pest Prevention","(866) 203-6949","https://www.yellowpages.com/nationwide/mip/official-pest-prevention-564924885?lid=1002083806457","Pest Control Services,Pest Control Services-Commercial & Industrial,Animal Removal Services","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"17. ","Step Aside Pest Management, Inc.","(209) 232-8796","https://www.yellowpages.com/modesto-ca/mip/step-aside-pest-management-inc-10015984?lid=1002030659008","Pest Control Services,Real Estate Inspection Service,Pest Control Services-Commercial & Industrial","http://bugsdoa.com","","4601 Spyres Way Ste 1","Modesto","CA","95356","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"18. ","Dynamite Exterminators","(209) 214-7612","https://www.yellowpages.com/modesto-ca/mip/dynamite-exterminators-504611064?lid=1002006564115","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","http://dynamiteexterminators.com","","1801 H St Ste B5","Modesto","CA","95354","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"19. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417187","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"20. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042111","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"21. ","RX Lawn Care Solutions","(209) 599-7722","https://www.yellowpages.com/manteca-ca/mip/rx-lawn-care-solutions-461646969?lid=1001797488072","Pest Control Services,Landscape Designers & Consultants,Fertilizing Services","http://www.rxlawncaresolutions.com","","3025 E Palm Ave Ste 102","Manteca","CA","95337","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"22. ","Beekeeping Innovations","(209) 910-2905","https://www.yellowpages.com/nationwide/mip/beekeeping-innovations-505166853?lid=1001433810952","Pest Control Services,Beekeeping & Supplies,Bee Control & Removal Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"23. ","Allied Weed Control Inc","(559) 475-8774","https://www.yellowpages.com/nationwide/mip/allied-weed-control-inc-481089617?lid=1000172987127","Pest Control Services,Weed Control Service","http://www.alliedweed.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
"24. ","Clark Pest Control","(209) 800-1043","https://www.yellowpages.com/acampo-ca/mip/clark-pest-control-467908114?lid=1002089991668","Pest Control Services,Pest Control Services-Commercial & Industrial,Termite Control","http://www.clarkpest.com","","","Acampo","CA","95220","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Stockton,%20California"
