"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tacoma,%20Washington"
"2. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697569","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tacoma,%20Washington"
"3. ","Sunrise Pest Management","(253) 341-4115","https://www.yellowpages.com/nationwide/mip/sunrise-pest-management-514331431?lid=1001935975441","Pest Control Services","http://www.sunrisepest.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tacoma,%20Washington"
"4. ","Eagle Pest Eliminators","(425) 217-2099","https://www.yellowpages.com/everett-wa/mip/eagle-pest-eliminators-525343981?lid=1002004287370","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://eaglepesteliminators.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tacoma,%20Washington"
"5. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tacoma,%20Washington"
"6. ","AARD Pest Control","(425) 954-2070","https://www.yellowpages.com/lynnwood-wa/mip/aard-pest-control-12767841?lid=1001914980881","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","http://www.aardpestcontrol.com","","6019 212th St SW","Lynnwood","WA","98036","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tacoma,%20Washington"
"7. ","The Mole Man","(800) 201-5222","https://www.yellowpages.com/puyallup-wa/mip/the-mole-man-534579072?lid=1001782588055","Pest Control Services","http://molemanwa.com","","Po Box 731085","Puyallup","WA","98373","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tacoma,%20Washington"
"8. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/fife-wa/mip/orkin-pest-termite-control-554925528?lid=1002080468112","Pest Control Services,Termite Control,Bee Control & Removal Service","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","5113 Pacific Hwy E Ste 1W","Fife","WA","98424","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tacoma,%20Washington"
"9. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/fife-wa/mip/orkin-pest-termite-control-565952168?lid=1002085299325","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","5013 Pacific Hwy East - Suite 12w","Fife","WA","98424","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tacoma,%20Washington"
"10. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417212","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tacoma,%20Washington"
