"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Big Bend Eubanks Termite & Pest Control","(850) 739-6979","https://www.yellowpages.com/tallahassee-fl/mip/big-bend-eubanks-termite-pest-control-529211691?lid=1002069217607","Pest Control Services,Tourist Information & Attractions,Animal Shows & Organizations","http://bigbendeubanks.com","","2522 Capital Cir NE","Tallahassee","FL","32308","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tallahassee,%20Florida"
"2. ","Paul's Termite and Pest Control","(850) 391-2130","https://www.yellowpages.com/tallahassee-fl/mip/pauls-termite-and-pest-control-545086656?lid=1002021283259","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","http://callpauls.com/#nqL0m","","254 E 6th Ave","Tallahassee","FL","32303","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tallahassee,%20Florida"
"3. ","1st Choice Pest Services","(850) 692-2518","https://www.yellowpages.com/tallahassee-fl/mip/1st-choice-pest-services-18704767?lid=1001822578117","Pest Control Services,Real Estate Inspection Service,Pest Control Equipment & Supplies","http://www.1stchoicepest.com","","3070 Elmwood Rd","Tallahassee","FL","32317","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tallahassee,%20Florida"
"4. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/tallahassee-fl/mip/orkin-pest-termite-control-475516434?lid=1002080468178","Pest Control Services,Termite Control,Bee Control & Removal Service","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","4699 N Monroe St","Tallahassee","FL","32303","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tallahassee,%20Florida"
"5. ","1st Choice Pest Services","(850) 656-5982","https://www.yellowpages.com/tallahassee-fl/mip/1st-choice-pest-services-532713261?lid=1000479318096","Pest Control Services,Termite Control,Insect Control Devices","http://1stchoicepest.com","","3070 Elmwood Rd","Tallahassee","FL","32317","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tallahassee,%20Florida"
"6. ","Big Ben Eubanks Pest Control","(850) 422-2229","https://www.yellowpages.com/tallahassee-fl/mip/big-ben-eubanks-pest-control-541228629?lid=1001761408299","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://www.bigbendeubanks.com","","2522 Capital Cir NE","Tallahassee","FL","32308","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tallahassee,%20Florida"
"7. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tallahassee,%20Florida"
"8. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tallahassee,%20Florida"
"9. ","Chapman's  Mulch Company","(239) 266-2660","https://www.yellowpages.com/fort-myers-fl/mip/chapmans-mulch-company-13020647?lid=1002007250703","Pest Control Services,Garden Centers,Nursery & Growers Equipment & Supplies","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tallahassee,%20Florida"
"10. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417067","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tallahassee,%20Florida"
