"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Perf-A-Lawn of Toledo Inc","(419) 729-0436","https://www.yellowpages.com/toledo-oh/mip/perf-a-lawn-of-toledo-inc-3446964?lid=1000180080014","Pest Control Services,Landscaping & Lawn Services,Gardeners","http://www.perftoledo.com","","5118 Enterprise Blvd","Toledo","OH","43612","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Toledo,%20Ohio"
"2. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/toledo-oh/mip/orkin-pest-termite-control-4760038?lid=1002080467162","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","1355 Winnette Dr","Toledo","OH","43614","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Toledo,%20Ohio"
"3. ","Integrated Pest Control","(419) 243-1212","https://www.yellowpages.com/toledo-oh/mip/integrated-pest-control-4090729?lid=1001964683583","Pest Control Services,Beekeeping & Supplies,Bee Control & Removal Service","http://www.integratedpestcontrol.org","","1946 N 13th St","Toledo","OH","43604","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Toledo,%20Ohio"
"4. ","H & M Exterminators Inc","(419) 244-9556","https://www.yellowpages.com/toledo-oh/mip/h-m-exterminators-inc-465515331?lid=1001973039272","Pest Control Services,Bee Control & Removal Service","http://handmexterminators.com","","","Toledo","OH","43606","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Toledo,%20Ohio"
"5. ","Frame's Pest Control Inc","(734) 913-5858","https://www.yellowpages.com/toledo-oh/mip/frames-pest-control-inc-13862323?lid=1000538366158","Pest Control Services,Pest Control Equipment & Supplies,Insecticides","http://framespestcontrol.com","","2204 Rood St","Toledo","OH","43613","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Toledo,%20Ohio"
"6. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Toledo,%20Ohio"
"7. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Toledo,%20Ohio"
"8. ","Banfax Pest Control","(419) 419-0825","https://www.yellowpages.com/bowling-green-oh/mip/banfax-pest-control-459464469?lid=1001780224980","Pest Control Services,Fire Protection Equipment & Supplies,Tourist Information & Attractions","http://www.banfax.com","","17455 Haskins Rd","Bowling Green","OH","43402","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Toledo,%20Ohio"
"9. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417142","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Toledo,%20Ohio"
"10. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042065","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Toledo,%20Ohio"
