"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Charles Pest Control","(918) 584-3323","https://www.yellowpages.com/tulsa-ok/mip/charles-pest-control-468130618?lid=1000685587031","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://charlespestcontrol.com","","7647 E 46th Pl","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tulsa,%20Oklahoma"
"2. ","Mother Nature's Lawn Care","(918) 940-6655","https://www.yellowpages.com/tulsa-ok/mip/mother-natures-lawn-care-469529105?lid=1002014454349","Pest Control Services,Pest Control Equipment & Supplies,Building Contractors","http://www.mothernaturesinc.com","","11356 E 51st Pl","Tulsa","OK","74146","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tulsa,%20Oklahoma"
"3. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/tulsa-ok/mip/orkin-pest-termite-control-475518601?lid=1002079891593","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","6550 E 40th St","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tulsa,%20Oklahoma"
"4. ","Montgomery Exterminating Inc","(918) 438-4885","https://www.yellowpages.com/tulsa-ok/mip/montgomery-exterminating-inc-21617166?lid=1001801945967","Pest Control Services,Pest Control Equipment & Supplies,Real Estate Inspection Service","http://www.montgomeryexterminating.com","","106 S 109th East Pl","Tulsa","OK","74128","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tulsa,%20Oklahoma"
"5. ","Guaranty Exterminating Co, Inc","(918) 665-2129","https://www.yellowpages.com/tulsa-ok/mip/guaranty-exterminating-co-inc-460589480?lid=1001027768308","Pest Control Services,Garden Centers","http://guarantyexterminating.com","","5455 S 101st East Ave","Tulsa","OK","74146","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tulsa,%20Oklahoma"
"6. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tulsa,%20Oklahoma"
"7. ","Brewer Russell","(918) 834-1122","https://www.yellowpages.com/nationwide/mip/brewer-russell-2431863?lid=1001891564075","Pest Control Services,Pest Control Services-Commercial & Industrial,Termite Control","http://www.brewer-russell.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tulsa,%20Oklahoma"
"8. ","Hawx Pest Control","(877) 202-3293","https://www.yellowpages.com/nationwide/mip/hawx-pest-control-567232272?lid=1002091697254","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tulsa,%20Oklahoma"
"9. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tulsa,%20Oklahoma"
"10. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417242","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tulsa,%20Oklahoma"
"11. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042057","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tulsa,%20Oklahoma"
"12. ","Absolute Extermination","(918) 479-2883","https://www.yellowpages.com/lcg-ok/mip/absolute-extermination-476043173?lid=1000009882423","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tulsa,%20Oklahoma"
"13. ","Pro-Tech Termite and Pest Services Inc.","(918) 639-1025","https://www.yellowpages.com/bristow-ok/mip/pro-tech-termite-and-pest-services-inc-491825459?lid=1001754419059","Pest Control Services,Termite Control,Animal Removal Services","http://www.protechtermiteandpestservices.com","","","Bristow","OK","74010","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tulsa,%20Oklahoma"
"14. ","Emco Termite and Pest Control Co Inc","(918) 224-8820","https://www.yellowpages.com/sapulpa-ok/mip/emco-termite-and-pest-control-co-inc-480107276?lid=1000542607928","Pest Control Services,Landscaping & Lawn Services,Insect Control Devices","http://www.emcopc.com","","1001 E Hobson Ave","Sapulpa","OK","74066","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Tulsa,%20Oklahoma"
