"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Bugs R Us","(316) 512-2230","https://www.yellowpages.com/wichita-ks/mip/bugs-r-us-551151799?lid=205915996","Pest Control Services,Cleaning Contractors,Building Contractors","","","","Wichita","KS","67217","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"2. ","Heartland Pest Control","(316) 262-2073","https://www.yellowpages.com/wichita-ks/mip/heartland-pest-control-90099?lid=1002009225965","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","http://www.heartlandpros.com","","","Wichita","KS","67212","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"3. ","PATTON TERMITE & PEST CONTROL","(316) 773-3825","https://www.yellowpages.com/wichita-ks/mip/patton-termite-pest-control-550415717?lid=1001781872022","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://www.pattontermiteandpest.com","","7920 W Kellogg Dr, Suite 201","Wichita","KS","67205","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"4. ","Arrest A Pest by PMP, Inc.","(316) 945-8400","https://www.yellowpages.com/wichita-ks/mip/arrest-a-pest-by-pmp-inc-548566221?lid=1002028673572","Pest Control Services,Pest Control Equipment & Supplies,Bird Barriers, Repellents & Controls","","","1409 S Bebe St","Wichita","KS","67209","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"5. ","Kansas Bed Bugs","(316) 854-1503","https://www.yellowpages.com/wichita-ks/mip/kansas-bed-bugs-567925392?lid=1002099683375","Pest Control Services","https://www.ksbedbugs.com","","309 N Madison Ave","Wichita","KS","67214","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"6. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/wichita-ks/mip/orkin-pest-termite-control-1461248?lid=1002080468238","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","2308 E Mount Vernon St","Wichita","KS","67211","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"7. ","Valley Feed & Seed Inc","(316) 512-3896","https://www.yellowpages.com/wichita-ks/mip/valley-feed-seed-inc-8414564?lid=1001234795977","Pest Control Services,Lawn & Garden Equipment & Supplies,Pet Stores","http://kansasseed.net","","1903 S Meridian Ave","Wichita","KS","67213","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"8. ","Brown Reclusinator & Bed Buginator Pest-Termite-Wildlife Control","(316) 943-2483","https://www.yellowpages.com/wichita-ks/mip/brown-reclusinator-bed-buginator-pest-termite-wildlife-control-461745550?lid=1000437169688","Pest Control Services,Inspection Service","http://www.brownreclusinator.com","","W 21st St N","Wichita","KS","67203","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"9. ","Bug Stoppers","(316) 847-6559","https://www.yellowpages.com/derby-ks/mip/bug-stoppers-135831?lid=1001552593133","Pest Control Services,Spraying Equipment,Termite Control","http://www.bugstoppers.info","","","Derby","KS","67037","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"10. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"11. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"12. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417042","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"13. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042071","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"14. ","Best Pest Control","(316) 284-2168","https://www.yellowpages.com/newton-ks/mip/best-pest-control-461716388?lid=171553292","Pest Control Services","http://bestpestcontrolks.com/","","","Newton","KS","67114","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"15. ","Bug Stoppers","(316) 788-2847","https://www.yellowpages.com/derby-ks/mip/bug-stoppers-556752865?lid=1002056960764","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://bugstoppers.info","","912 E Kay St","Derby","KS","67037","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"16. ","Kansas Bed Bugs, LLC","(316) 448-0940","https://www.yellowpages.com/nationwide/mip/kansas-bed-bugs-llc-567976730?lid=1002099908591","Pest Control Services","https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1653460178776.1cfe2c98&ADID=12290825&DEST=https%3A%2F%2Fksbedbugs15.mydex.com%2FxuV5fQsenM0&C=Pest%20Control&T=Wichita&S=KS&PH=(316)%20448-0940&FL=url&TL=off&position=15&PS=30&PI=1&Results=FEED_CLCK&uid=1cfe2c98-1350-48c1-b045-1d64f316e6ef&REF=&IP=185.183.33.19&UserAgent=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F64.0.3282.140%20Safari%2F537.36","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"17. ","Liberty Pest Control","(316) 838-5667","https://www.yellowpages.com/wichita-ks/mip/liberty-pest-control-17663401","Pest Control Services,Lawn Maintenance,Termite Control","","","1617 W 52nd St N","Wichita","KS","67204","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"18. ","BETTS PEST CONTROL, LLC","(316) 943-3555","https://www.yellowpages.com/wichita-ks/mip/betts-pest-control-llc-461711079","Pest Control Services,Termite Control,Spraying Equipment","http://www.bettspc.com","","3015 W Central Ave","Wichita","KS","67203","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"19. ","Midwest Pest Control","(316) 722-0171","https://www.yellowpages.com/wichita-ks/mip/midwest-pest-control-12023758","Pest Control Services","","","7585 W 21st St N","Wichita","KS","67205","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"20. ","Schendel Pest Services","(316) 262-2332","https://www.yellowpages.com/wichita-ks/mip/schendel-pest-services-13575602","Pest Control Services,Animal Removal Services,Bird Barriers, Repellents & Controls","https://www.facebook.com/SchendelPest","","1545 S Broadway Ave","Wichita","KS","67211","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"21. ","Brown Reclusinator/Bed Buginator Pest Control","(316) 943-2847","https://www.yellowpages.com/wichita-ks/mip/brown-reclusinator-bed-buginator-pest-control-467174627","Pest Control Services","","","East 21st","Wichita","KS","67218","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"22. ","Advanced Pest Control LC","(316) 838-5055","https://www.yellowpages.com/wichita-ks/mip/advanced-pest-control-lc-461713247","Pest Control Services,Pest Control Services-Commercial & Industrial,Spraying Equipment","","","3025 W Benjamin Ct","Wichita","KS","67204","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"23. ","Kaiser Pest Control Plus","(316) 264-0858","https://www.yellowpages.com/wichita-ks/mip/kaiser-pest-control-plus-461709049","Pest Control Services","http://www.kaiserpestcontrol.com","","2801 W 13th St N","Wichita","KS","67203","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"24. ","AAA Pest Control Service Inc.","(316) 943-7589","https://www.yellowpages.com/wichita-ks/mip/aaa-pest-control-service-inc-7713309","Pest Control Services,Spraying Equipment","","","3216 S Bonn Ave","Wichita","KS","67217","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"25. ","Pestex West","(316) 945-4004","https://www.yellowpages.com/wichita-ks/mip/pestex-west-463989363","Pest Control Services","http://www.bankofthewest.com","","1060 N West St","Wichita","KS","67203","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"26. ","Enviro Tech Pest Control","(316) 946-5554","https://www.yellowpages.com/wichita-ks/mip/enviro-tech-pest-control-11742086","Pest Control Services","","","6020 W Saint Louis Ave","Wichita","KS","67212","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"27. ","Best Pest Control","(316) 253-0376","https://www.yellowpages.com/wichita-ks/mip/best-pest-control-24274143","Pest Control Services","","","12526 W Hardtner St","Wichita","KS","67235","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
"28. ","All Bugs Pest Control","(316) 558-3760","https://www.yellowpages.com/wichita-ks/mip/all-bugs-pest-control-473668726","Pest Control Services","http://allbugspestcontrol.com","","14205 W Hunters View St","Wichita","KS","67235","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Wichita,%20Kansas"
