"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Pro-Tech Pest Control","(508) 757-2409","https://www.yellowpages.com/worcester-ma/mip/pro-tech-pest-control-11324937?lid=1001293203260","Pest Control Services,Pest Control Services-Commercial & Industrial,Pest Control Equipment & Supplies","","","541 Pleasant St","Worcester","MA","01602","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Worcester,%20Massachusetts"
"2. ","NW Pest Control Inc","(888) 425-3112","https://www.yellowpages.com/nationwide/mip/nw-pest-control-inc-524838021?lid=1001436353963","Pest Control Services,Bee Control & Removal Service,Inspection Service","http://www.nwpestcontrol.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Worcester,%20Massachusetts"
"3. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Worcester,%20Massachusetts"
"4. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Worcester,%20Massachusetts"
"5. ","Eco Systems Pest Control","(781) 924-8002","https://www.yellowpages.com/hanover-ma/mip/eco-systems-pest-control-533523655?lid=1001930393269","Pest Control Services,Pest Control Equipment & Supplies,Crop Dusting, Seeding & Spraying","http://www.ecopestcontrol.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Worcester,%20Massachusetts"
"6. ","LaRues Pest Solution","(774) 318-4044","https://www.yellowpages.com/southbridge-ma/mip/larues-pest-solution-564075773?lid=1002079143006","Pest Control Services,Insecticides,Pest Control Services-Commercial & Industrial","http://laruespest.com","","66 fairlawn Ave","Southbridge","MA","01550","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Worcester,%20Massachusetts"
"7. ","Accurate Pest Control","(508) 556-4141","https://www.yellowpages.com/auburn-ma/mip/accurate-pest-control-21565565?lid=1002004321556","Pest Control Services","","","11 Old Colony Rd","Auburn","MA","01501","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Worcester,%20Massachusetts"
"8. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417202","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Worcester,%20Massachusetts"
"9. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042131","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Worcester,%20Massachusetts"
"10. ","Expert Pest Control","(800) 235-3093","https://www.yellowpages.com/fitchburg-ma/mip/expert-pest-control-4495767?lid=1000997512778","Pest Control Services,Inspection Service,Pest Control Services-Commercial & Industrial","http://www.expertpestcontrol.net","","967 South St","Fitchburg","MA","01420","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Worcester,%20Massachusetts"
"11. ","Critter Control","(508) 319-9340","https://www.yellowpages.com/nationwide/mip/critter-control-531164992?lid=1002084131159","Pest Control Services,Wildlife Refuge,Bird Barriers, Repellents & Controls","https://api.superpages.com/xml/search?SRC=ypintfeed&subaffiliate=DXC&PGID=e02.7182.8182845904523&SPGID=1653460897756.00b90554&ADID=6116911&DEST=https%3A%2F%2Fcrittercontrolofcentralma.mydex.com%2FqXmNvFRVvg4&C=Pest%20Control&T=Worcester&S=MA&PH=(508)%20319-9340&FL=url&TL=off&position=10&PS=30&PI=1&Results=FEED_CLCK&uid=00b90554-4ad0-47a2-9de5-fa7b345c579d&REF=&IP=185.183.33.19&UserAgent=Mozilla%2F5.0%20(X11%3B%20Linux%20x86_64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F64.0.3282.140%20Safari%2F537.36","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Worcester,%20Massachusetts"
"12. ","Tri County Pest Service","(508) 643-3300","https://www.yellowpages.com/worcester-ma/mip/tri-county-pest-service-465628200","Pest Control Services","https://bramanpest.com","","1027 Main St","Worcester","MA","01603","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Worcester,%20Massachusetts"
"13. ","Aaaw Guaranty Pest Elimination","(508) 236-4122","https://www.yellowpages.com/worcester-ma/mip/aaaw-guaranty-pest-elimination-19660699","Pest Control Services","","","","Worcester","MA","01601","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Worcester,%20Massachusetts"
"14. ","Terminix","(774) 243-0565","https://www.yellowpages.com/worcester-ma/mip/terminix-541233072","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.terminix.com/exterminators/ma/worcester-2573","","324 Grove St Ste 6","Worcester","MA","01605","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Worcester,%20Massachusetts"
"15. ","Guaranty Pest Elimination","(781) 235-9871","https://www.yellowpages.com/worcester-ma/mip/guaranty-pest-elimination-505102245","Pest Control Services","","","24 Cambridge St","Worcester","MA","01603","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Worcester,%20Massachusetts"
"16. ","Pest Solutions in Worcester","(774) 773-6494","https://www.yellowpages.com/worcester-ma/mip/pest-solutions-in-worcester-538977928","Pest Control Services,Pest Control Services-Commercial & Industrial","","","107 Ward St","Worcester","MA","01610","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Worcester,%20Massachusetts"
