"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Problem Solved Pest Control","(914) 376-0707","https://www.yellowpages.com/yonkers-ny/mip/problem-solved-pest-control-21170674?lid=1002070474385","Pest Control Services,Pest Control Services-Commercial & Industrial,Bee Control & Removal Service","http://www.problemsolvedpestcontrolny.com","","121 Gavin St","Yonkers","NY","10701","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Yonkers,%20New%20York"
"2. ","Arrow Exterminating Company Inc.","(347) 254-7009","https://www.yellowpages.com/lynbrook-ny/mip/arrow-exterminating-company-inc-21712456?lid=169887077","Pest Control Services,Pest Control Equipment & Supplies,Animal Removal Services","http://www.arrowexterminating.com","","289 Broadway","Lynbrook","NY","11563","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Yonkers,%20New%20York"
"3. ","Orkin Pest & Temite Control","(877) 200-7113","https://www.yellowpages.com/nationwide/mip/orkin-pest-temite-control-560830676?lid=1002067071752","Pest Control Services,Termite Control","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Yonkers,%20New%20York"
"4. ","Regal Pest Management","(914) 295-2197","https://www.yellowpages.com/thornwood-ny/mip/regal-pest-management-534493843?lid=1002069208115","Pest Control Services,Pest Control Equipment & Supplies,Termite Control","http://www.regalpest.net","","","Thornwood","NY","10594","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Yonkers,%20New%20York"
"5. ","Bee Removal - Wildlife - Pest Control","(877) 500-4684","https://www.yellowpages.com/nationwide/mip/bee-removal-wildlife-pest-control-481019053?lid=1002068255977","Pest Control Services,Bee Control & Removal Service,Beekeepers","http://www.beeremovalspecialist.com","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Yonkers,%20New%20York"
"6. ","CMA Pest Control","(845) 402-8795","https://www.yellowpages.com/mohegan-lake-ny/mip/cma-pest-control-502976976?lid=1002042636059","Pest Control Services,Crop Dusting, Seeding & Spraying,Bee Control & Removal Service","http://www.cmapestcontrol.net","","1801 Casey Ct","Mohegan Lake","NY","10547","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Yonkers,%20New%20York"
"7. ","Orkin Pest & Termite Control","(877) 200-7113","https://www.yellowpages.com/elmsford-ny/mip/orkin-pest-termite-control-482188451?lid=1002085300240","Pest Control Services,Termite Control,Pest Control Equipment & Supplies","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","2 Westchester Plz","Elmsford","NY","10523","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Yonkers,%20New%20York"
"8. ","TruGreen Lawn Care","(877) 459-7073","https://www.yellowpages.com/nationwide/mip/trugreen-lawn-care-550004328?lid=1002089417237","Pest Control Services,Landscaping & Lawn Services,Weed Control Service","","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Yonkers,%20New%20York"
"9. ","Orkin Pest & Temite Control","(877) 203-0807","https://www.yellowpages.com/atlanta-ga/mip/orkin-pest-temite-control-2955693?lid=1002088042067","Pest Control Services,Termite Control,Pest Control Services-Commercial & Industrial","https://www.orkin.com/new-service/orkin?utm_campaign=SPRPAGES&utm_source=super-pages&utm_content=pest&utm_medium=referral","","","","","","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Yonkers,%20New%20York"
"10. ","Top Level Pest Control","(914) 949-2149","https://www.yellowpages.com/hartsdale-ny/mip/top-level-pest-control-502820670?lid=1000541603425","Pest Control Services,Insecticides,Pest Control Equipment & Supplies","http://www.toplevelpestcontrol.com","","20 N Central Ave","Hartsdale","NY","10530","https://www.yellowpages.com/search?search_terms=Pest%20Control&geo_location_terms=Yonkers,%20New%20York"
