"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Eagle Solar Power","(817) 917-9965","https://www.yellowpages.com/mansfield-tx/mip/eagle-solar-power-551201792","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","https://www.eaglesolarpower.com","","5738 Newt Patterson Rd Ste B","Mansfield","TX","76063","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Arlington,%20Texas"
"2. ","Best Solar Installation","(682) 478-3125","https://www.yellowpages.com/arlington-tx/mip/best-solar-installation-550871398","Solar Energy Equipment & Systems-Service & Repair,Roofing Contractors,Solar Energy Equipment & Systems-Dealers","http://www.bestsolarinstallation.com","","8010 Matlock Road","Arlington","TX","76002","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Arlington,%20Texas"
"3. ","A Apollo Automatic Gates","(817) 478-5885","https://www.yellowpages.com/arlington-tx/mip/a-apollo-automatic-gates-481563491","Solar Energy Equipment & Systems-Service & Repair,Gates & Accessories,Commercial & Industrial Door Sales & Repair","http://www.apollogate.net","","4101 W Green Oaks Blvd","Arlington","TX","76016","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Arlington,%20Texas"
"4. ","JVA General Contractors LLC","(682) 553-4607","https://www.yellowpages.com/mansfield-tx/mip/jva-general-contractors-llc-519675358","Solar Energy Equipment & Systems-Service & Repair,Roofing Contractors,Altering & Remodeling Contractors","http://www.jvacontractors.com","","1301 E Debbie Ln Suite 102#187","Mansfield","TX","76063","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Arlington,%20Texas"
"5. ","Sunrise Solar","(817) 429-4411","https://www.yellowpages.com/pantego-tx/mip/sunrise-solar-19002047","Solar Energy Equipment & Systems-Service & Repair","http://solartexas.com","","2504 W Park Row Dr Ste B5","Pantego","TX","76013","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Arlington,%20Texas"
"6. ","Kosmos Solar","(817) 968-3376","https://www.yellowpages.com/grand-prairie-tx/mip/kosmos-solar-548874175","Solar Energy Equipment & Systems-Service & Repair","https://www.kosmossolar.com","","1320 Post N Paddock St","Grand Prairie","TX","75050","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Arlington,%20Texas"
"7. ","Texas Solar Professional","(469) 581-0008","https://www.yellowpages.com/dallas-tx/mip/texas-solar-professional-563920130","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Research & Development,Solar Energy Equipment & Systems-Dealers","https://www.texassolar.pro","","2839 Merrell Rd","Dallas","TX","75229","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Arlington,%20Texas"
"8. ","Sethi Solar","(469) 206-6965","https://www.yellowpages.com/dallas-tx/mip/sethi-solar-560372622","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","https://sethisolarusa.com","","1910 Pacific Ave 16 700","Dallas","TX","75201","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Arlington,%20Texas"
"9. ","Global Efficient Energy","(877) 548-5354","https://www.yellowpages.com/hurst-tx/mip/global-efficient-energy-467094235","Solar Energy Equipment & Systems-Service & Repair,Home Improvements,Air Conditioning Equipment & Systems","http://www.globalefficientenergy.com","","1237 Southridge Ct","Hurst","TX","76053","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Arlington,%20Texas"
"10. ","O3 Home Solar","(888) 999-2902","https://www.yellowpages.com/dallas-tx/mip/o3-home-solar-555986588","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","https://o3homesolar.com","","325 N Saint Paul St Ste 4550","Dallas","TX","75201","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Arlington,%20Texas"
"11. ","Circular Energy","(469) 522-3279","https://www.yellowpages.com/dallas-tx/mip/circular-energy-483422602","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","http://www.circularenergy.com","","3102 Maple Ave Ste 400","Dallas","TX","75201","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Arlington,%20Texas"
"12. ","ABM Building Services","(214) 749-1000","https://www.yellowpages.com/dallas-tx/mip/abm-building-services-495343905","Solar Energy Equipment & Systems-Service & Repair,Energy Conservation Consultants,Air Conditioning Contractors & Systems","http://www.abm.com","","PO Box 612567","Dallas","TX","75261","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Arlington,%20Texas"
"13. ","Boundless, Inc.","(888) 281-2054","https://www.yellowpages.com/mckinney-tx/mip/boundless-inc-567839960","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","https://boundlessinc.com?y_source=1_mjuxnta0mdutntuzlwxvy2f0aw9ulndlynnpdgu%3d","","2401 Trinity Ln","Mckinney","TX","75072","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Arlington,%20Texas"
"14. ","Premium Solar Patios","(866) 480-4420","https://www.yellowpages.com/dallas-tx/mip/premium-solar-patios-549481975","Solar Energy Equipment & Systems-Service & Repair","https://www.premiumsolarpatios.com","","10840 Sanden Dr Ste A","Dallas","TX","75238","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Arlington,%20Texas"
"15. ","Go Green With Len","(682) 262-5943","https://www.yellowpages.com/weatherford-tx/mip/go-green-with-len-558021220","Solar Energy Equipment & Systems-Service & Repair","http://gogreenwithlen.com","","111 Brazos Valley Ln","Weatherford","TX","76087","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Arlington,%20Texas"
"16. ","Electric Distribution and Design Systems","(214) 679-5458","https://www.yellowpages.com/dallas-tx/mip/electric-distribution-and-design-systems-555672517","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Electricians","https://www.eddssolar.com","","10500 Metric Dr Ste 118","Dallas","TX","75243","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Arlington,%20Texas"
