"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Oasis Air Conditioning Inc","(661) 322-2665","https://www.yellowpages.com/bakersfield-ca/mip/oasis-air-conditioning-inc-470244688?lid=1001459154520","Solar Energy Equipment & Systems-Service & Repair,Building Contractors,Heating Contractors & Specialties","http://www.322cool.com","","1000 E Truxtun Ave","Bakersfield","CA","93305","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"2. ","SunPower by Sun Solar","(661) 379-7000","https://www.yellowpages.com/bakersfield-ca/mip/sunpower-by-sun-solar-524038505","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","https://www.sunpowerbysunsolar.com","","8803 Scobee St","Bakersfield","CA","93311","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"3. ","Benchmark Air Conditioning","(661) 393-5882","https://www.yellowpages.com/bakersfield-ca/mip/benchmark-air-conditioning-4304211?lid=1001223953950","Solar Energy Equipment & Systems-Service & Repair,Air Conditioning Contractors & Systems,Air Conditioning Equipment & Systems","http://www.benchmarkairconditioning.com","","1920 Mineral Ct","Bakersfield","CA","93308","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"4. ","First Choice Maintenance","(661) 381-0336","https://www.yellowpages.com/bakersfield-ca/mip/first-choice-maintenance-528987634","Solar Energy Equipment & Systems-Service & Repair,Swimming Pool Repair & Service","http://www.facebook.com/1stChoiceMaintenance","","1410 Wilson Rd","Bakersfield","CA","93304","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"5. ","A-C Solar","(855) 800-7652","https://www.yellowpages.com/bakersfield-ca/mip/a-c-solar-468615842","Solar Energy Equipment & Systems-Service & Repair,Energy Conservation Products & Services,Energy Management Engineers","http://www.a-csolar.com","","315 30th St","Bakersfield","CA","93301","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"6. ","Brent's Professional Services","(661) 412-1132","https://www.yellowpages.com/bakersfield-ca/mip/brents-professional-services-524170566","Solar Energy Equipment & Systems-Service & Repair,Windows,Gardeners","http://www.brentsproservices.vpweb.com","","10700 Dr Martin Luther King Jr Blvd","Bakersfield","CA","93307","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"7. ","Sparkling Solar Cleaning","(661) 717-6424","https://www.yellowpages.com/bakersfield-ca/mip/sparkling-solar-cleaning-505585356","Solar Energy Equipment & Systems-Service & Repair,Cleaning Contractors,Steam Cleaning","http://www.sparklingsolarcleaning.com","","3508 Aslin St","Bakersfield","CA","93312","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"8. ","A Touch Of Glass Cleaning","(661) 396-7500","https://www.yellowpages.com/nationwide/mip/a-touch-of-glass-cleaning-2556052?lid=1001707201428","Solar Energy Equipment & Systems-Service & Repair,Cleaning Contractors,Gutters & Downspouts Cleaning","http://www.ikleen4u.com","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"9. ","Renewables West","(800) 498-0774","https://www.yellowpages.com/san-leandro-ca/mip/renewables-west-458975094?lid=1001537971298","Solar Energy Equipment & Systems-Service & Repair,Generators,Environmental & Ecological Consultants","http://www.renewableswest.com","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"10. ","Finster Services","(661) 293-0167","https://www.yellowpages.com/shafter-ca/mip/finster-services-530344914","Solar Energy Equipment & Systems-Service & Repair,Commercial & Industrial Steam Cleaning,Pressure Washing Equipment & Services","http://www.finsterservices.com","","674 Hofman Dr","Shafter","CA","93263","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"11. ","Protec Roofing & Solar","(661) 384-2212","https://www.yellowpages.com/nationwide/mip/protec-roofing-solar-566509251","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","https://www.bakersfieldcaroofingservice.com","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"12. ","Advanced Roofing","(661) 241-8151","https://www.yellowpages.com/bakersfield-ca/mip/advanced-roofing-496034237?lid=1002074389982","Solar Energy Equipment & Systems-Service & Repair,Roofing Contractors,Roofing Services Consultants","https://roofing-bakersfield.com","","","Bakersfield","CA","93306","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"13. ","Cordell Solar","(661) 328-1111","https://www.yellowpages.com/bakersfield-ca/mip/cordell-solar-524095116","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Research & Development,Solar Energy Equipment & Systems-Dealers","http://cordellsolar.com","","3030 Landco Dr","Bakersfield","CA","93308","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"14. ","Sunrun","(661) 877-9075","https://www.yellowpages.com/bakersfield-ca/mip/sunrun-523421915","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","http://www.sunrun.com/solar-by-state/ca/bakersfield-california-solar","","3615 Patton Way","Bakersfield","CA","93308","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"15. ","Jake Ford Electric Inc.","(661) 742-0594","https://www.yellowpages.com/bakersfield-ca/mip/jake-ford-electric-inc-478163693","Solar Energy Equipment & Systems-Service & Repair,Electric Contractors-Commercial & Industrial,Electricians","http://jakefordelectricinc.com","","12441 Meacham Rd","Bakersfield","CA","93312","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"16. ","Mark Kozell Heating Air & Electrical","(661) 619-2588","https://www.yellowpages.com/bakersfield-ca/mip/mark-kozell-heating-air-electrical-21969315","Solar Energy Equipment & Systems-Service & Repair,Air Conditioning Contractors & Systems,Heating Units-Manufacturers & Distributors","","","5304 Krista St","Bakersfield","CA","93313","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"17. ","Swim ""N"" Solar","(661) 617-9791","https://www.yellowpages.com/bakersfield-ca/mip/swim-n-solar-473678609","Solar Energy Equipment & Systems-Service & Repair,Swimming Pool Repair & Service,Cleaning Contractors","http://swimnsolar.com","","","Bakersfield","CA","93312","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"18. ","Next Phase Electric, Inc.","(661) 878-7576","https://www.yellowpages.com/bakersfield-ca/mip/next-phase-electric-inc-538711464","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Consultants","https://nextphaseelect.com/contact/request-a-service-call","","4801 District Blvd","Bakersfield","CA","93313","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"19. ","Energy Indepence Group","(661) 868-9000","https://www.yellowpages.com/bakersfield-ca/mip/energy-indepence-group-526232932","Solar Energy Equipment & Systems-Service & Repair","","","10010 Rosedale Hwy","Bakersfield","CA","93312","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
"20. ","Valley Solar Clean","(661) 535-2226","https://www.yellowpages.com/bakersfield-ca/mip/valley-solar-clean-510659647","Solar Energy Equipment & Systems-Service & Repair","http://valleysolarclean.com","","1201 24th St","Bakersfield","CA","93301","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Bakersfield,%20California"
