"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Alt Energy","(208) 991-3820","https://www.yellowpages.com/garden-city-id/mip/alt-energy-541272893","Solar Energy Equipment & Systems-Service & Repair","","","208 E 37th St","Garden City","ID","83714","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Boise%20City,%20Idaho"
"2. ","Blue Raven Solar","(503) 662-6092","https://www.yellowpages.com/boise-id/mip/blue-raven-solar-544314782","Solar Energy Equipment & Systems-Service & Repair","https://blueravensolar.com/idaho/boise","","11513 W. Fairview Ave, Ste 103","Boise","ID","83701","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Boise%20City,%20Idaho"
"3. ","Electric Authority, Inc.","(208) 739-0665","https://www.yellowpages.com/melba-id/mip/electric-authority-inc-493304178","Solar Energy Equipment & Systems-Service & Repair","","","16390 State Highway 78","Melba","ID","83641","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Boise%20City,%20Idaho"
"4. ","Eco Solar Skylight Tubes","(208) 376-0368","https://www.yellowpages.com/garden-city-id/mip/eco-solar-skylight-tubes-461967917","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","","","4299 W Chinden Blvd","Garden City","ID","83714","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Boise%20City,%20Idaho"
"5. ","Old Dominion Solar","(208) 877-3777","https://www.yellowpages.com/boise-id/mip/old-dominion-solar-551521018","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","","","254 S Cole Rd","Boise","ID","83709","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Boise%20City,%20Idaho"
"6. ","Idahome Solar","(208) 997-6527","https://www.yellowpages.com/meridian-id/mip/idahome-solar-561264366","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Consultants","https://www.idahomesolar.com","","2484 N Stokesberry Pl Ste 100","Meridian","ID","83646","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Boise%20City,%20Idaho"
"7. ","Intermountain Wind & Solar","(208) 398-0039","https://www.yellowpages.com/boise-id/mip/intermountain-wind-solar-529538587","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","http://www.intermtnwindandsolar.com","","500 S 8th St # 200","Boise","ID","83702","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Boise%20City,%20Idaho"
"8. ","Solar Cascade","(208) 375-3644","https://www.yellowpages.com/boise-id/mip/solar-cascade-15826046","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Sunrooms & Solariums","http://www.solarcascade.com","","","Boise","ID","83702","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Boise%20City,%20Idaho"
"9. ","Birdsong Solar and Remodeling","(208) 859-2299","https://www.yellowpages.com/caldwell-id/mip/birdsong-solar-and-remodeling-530444132","Solar Energy Equipment & Systems-Service & Repair,Altering & Remodeling Contractors,Home Improvements","","","5304 Auburn Pl","Caldwell","ID","83607","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Boise%20City,%20Idaho"
"10. ","Solar Surfers","(541) 212-4491","https://www.yellowpages.com/nyssa-or/mip/solar-surfers-469877647","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","http://www.solarsurfers.org","","129 Main St","Nyssa","OR","97913","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Boise%20City,%20Idaho"
