"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Vibe Solar INC","(915) 331-8423","https://www.yellowpages.com/el-paso-tx/mip/vibe-solar-inc-548755862","Solar Energy Equipment & Systems-Service & Repair","http://vibesolar.com","","221 N Kansas St Ste 700","El Paso","TX","79901","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=El%20Paso,%20Texas"
"2. ","Meraki-David Boyle","(915) 412-5616","https://www.yellowpages.com/el-paso-tx/mip/meraki-david-boyle-544422168","Solar Energy Equipment & Systems-Service & Repair","","","3945 Doniphan Park Cir","El Paso","TX","79922","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=El%20Paso,%20Texas"
"3. ","Solar","(915) 304-0147","https://www.yellowpages.com/el-paso-tx/mip/solar-550208035","Solar Energy Equipment & Systems-Service & Repair","http://www.smxsolar.com","","11940 Don Haskins Dr","El Paso","TX","79936","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=El%20Paso,%20Texas"
"4. ","Sunforce Solar","(915) 242-2100","https://www.yellowpages.com/el-paso-tx/mip/sunforce-solar-525542365","Solar Energy Equipment & Systems-Service & Repair","","","221 N Kansas St Ste 700","El Paso","TX","79901","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=El%20Paso,%20Texas"
"5. ","Sunshine City","(915) 257-5675","https://www.yellowpages.com/el-paso-tx/mip/sunshine-city-553871627","Solar Energy Equipment & Systems-Service & Repair","https://www.sunshinecitypower.com","","500 N Oregan","El Paso","TX","79901","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=El%20Paso,%20Texas"
"6. ","Power Safety International","(915) 351-7400","https://www.yellowpages.com/el-paso-tx/mip/power-safety-international-483350091","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Research & Development","","","6800 Gateway Blvd E Ste 3D","El Paso","TX","79915","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=El%20Paso,%20Texas"
"7. ","Solar Energy Systems, Inc.","(915) 222-7179","https://www.yellowpages.com/el-paso-tx/mip/solar-energy-systems-inc-526781474","Solar Energy Equipment & Systems-Service & Repair","","","7362 Remcon Cir","El Paso","TX","79912","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=El%20Paso,%20Texas"
"8. ","Border Solar","(915) 875-1305","https://www.yellowpages.com/el-paso-tx/mip/border-solar-458161016","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","http://www.bordersolar.com","","7365 Remcon Cir Ste B-202","El Paso","TX","79912","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=El%20Paso,%20Texas"
"9. ","greenGo Solar","(915) 351-2445","https://www.yellowpages.com/el-paso-tx/mip/greengo-solar-22066360","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Heating Contractors & Specialties","","","2517 Wyoming Ave","El Paso","TX","79903","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=El%20Paso,%20Texas"
"10. ","El Paso Solar","(915) 248-2633","https://www.yellowpages.com/el-paso-tx/mip/el-paso-solar-557187670","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Consultants","https://elpasotxsolar.com","","500 W Overland Ave Ste 250-2","El Paso","TX","79901","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=El%20Paso,%20Texas"
"11. ","Best Solar Installation","(915) 444-5289","https://www.yellowpages.com/el-paso-tx/mip/best-solar-installation-550868045","Solar Energy Equipment & Systems-Service & Repair,Roofing Contractors,Solar Energy Equipment & Systems-Dealers","http://www.bestsolarinstallation.com","","4020 Monroe Ave","El Paso","TX","79930","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=El%20Paso,%20Texas"
"12. ","Best Solar Installation","(915) 444-5282","https://www.yellowpages.com/el-paso-tx/mip/best-solar-installation-550871399","Solar Energy Equipment & Systems-Service & Repair,Roofing Contractors,Solar Energy Equipment & Systems-Dealers","http://www.bestsolarinstallation.com","","8041 N Mesa St Suite E1","El Paso","TX","79932","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=El%20Paso,%20Texas"
"13. ","Solar Made Simple","(915) 313-4014","https://www.yellowpages.com/el-paso-tx/mip/solar-made-simple-551775817","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Products & Services","https://solarmadesimplellc.com","","10817 Notus Ln","El Paso","TX","79935","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=El%20Paso,%20Texas"
"14. ","Erus Energy","(575) 215-2302","https://www.yellowpages.com/el-paso-tx/mip/erus-energy-560828426","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","https://www.erusenergy.com/?utm_source=ExtNet&utm_medium=Yext","","1100 Kastrin St","El Paso","TX","79907","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=El%20Paso,%20Texas"
