"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","1-800-Fix-Spas","(800) 349-7727","https://www.yellowpages.com/nationwide/mip/1-800-fix-spas-17145024?lid=1001895700045","Solar Energy Equipment & Systems-Service & Repair,Building Specialties,Spas & Hot Tubs-Repair & Service","http://www.fixspas.com/","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"2. ","CXI Constructions Contractors","(714) 453-4981","https://www.yellowpages.com/riverside-ca/mip/cxi-constructions-contractors-472905652?lid=299403785","Solar Energy Equipment & Systems-Service & Repair,Home Improvements,Home Repair & Maintenance","http://www.cxiconstruction.com/ConstructionExperts/index.asp","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"3. ","Brea Roofing","(714) 988-2716","https://www.yellowpages.com/brea-ca/mip/brea-roofing-541231690?lid=171639966","Solar Energy Equipment & Systems-Service & Repair,Electricians,Solar Energy Equipment & Systems-Manufacturers & Distributors","http://www.brearoofing.com","","171 Gemini Ave","Brea","CA","92821","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"4. ","Progressive Group Inc","(714) 899-2300","https://www.yellowpages.com/garden-grove-ca/mip/progressive-group-inc-502824094","Solar Energy Equipment & Systems-Service & Repair","http://propowergroup.com","","12552 Western Ave","Garden Grove","CA","92841","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"5. ","Solar Services","(714) 891-2177","https://www.yellowpages.com/garden-grove-ca/mip/solar-services-523997816","Solar Energy Equipment & Systems-Service & Repair","http://www.aabcowaterheaters.com","","11652 Knott St","Garden Grove","CA","92841","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"6. ","Southwest Sun Solar","(714) 582-3909","https://www.yellowpages.com/garden-grove-ca/mip/southwest-sun-solar-533526532","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Consultants","http://southwestsunsolar.com","","13752 Harbor Blvd","Garden Grove","CA","92843","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"7. ","Best Solar Installation","(657) 212-3229","https://www.yellowpages.com/garden-grove-ca/mip/best-solar-installation-550868286","Solar Energy Equipment & Systems-Service & Repair,Roofing Contractors,Solar Energy Equipment & Systems-Dealers","http://www.bestsolarinstallation.com","","7201 Garden Grove Blvd","Garden Grove","CA","92841","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"8. ","Solar Installation Pros","(866) 691-4637","https://www.yellowpages.com/garden-grove-ca/mip/solar-installation-pros-472351978","Solar Energy Equipment & Systems-Service & Repair,Home Improvements","","","12833 Euclid St","Garden Grove","CA","92840","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"9. ","EcoSolar USA Electrical","(714) 265-9077","https://www.yellowpages.com/garden-grove-ca/mip/ecosolar-usa-electrical-544358457","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Consultants","https://www.ecosolarusa.com","","13962 Seaboard Cir","Garden Grove","CA","92843","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"10. ","Green Wave Electric, Inc.","(844) 830-5356","https://www.yellowpages.com/garden-grove-ca/mip/green-wave-electric-inc-529152778","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Manufacturers & Distributors,Solar Energy Equipment & Systems-Dealers","http://www.cagreenwave.com","","7111 Garden Grove Blvd Ste 201","Garden Grove","CA","92841","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"11. ","Cira Energy Inc.","(800) 766-8000","https://www.yellowpages.com/anaheim-ca/mip/cira-energy-inc-481018657","Solar Energy Equipment & Systems-Service & Repair","http://www.ciraenergy.com","","2031 E Cerritos Ave Ste 7e","Anaheim","CA","92806","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"12. ","OC Solar Panel Services","(714) 684-6847","https://www.yellowpages.com/anaheim-ca/mip/oc-solar-panel-services-568075851","Solar Energy Equipment & Systems-Service & Repair","https://ocsolarpanelservices.com","","435 S Arden St","Anaheim","CA","92802","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"13. ","Solar Panel Care & Repair","(714) 944-5868","https://www.yellowpages.com/anaheim-ca/mip/solar-panel-care-repair-544581916","Solar Energy Equipment & Systems-Service & Repair","http://solarpaneldoctors.com","","1114 W Diamond St","Anaheim","CA","92801","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"14. ","Solar 360 Building Services","(714) 202-4835","https://www.yellowpages.com/orange-ca/mip/solar-360-building-services-482218902","Solar Energy Equipment & Systems-Service & Repair","http://www.solar-360.com","","1912 N Batavia St Ste G","Orange","CA","92865","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"15. ","Verengo Inc","(877) 403-3479","https://www.yellowpages.com/anaheim-ca/mip/verengo-inc-472608459","Solar Energy Equipment & Systems-Service & Repair","","","1931 E Wright Cir","Anaheim","CA","92806","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"16. ","Solartrope Supply Corp","(714) 637-6226","https://www.yellowpages.com/orange-ca/mip/solartrope-supply-corp-525062934","Solar Energy Equipment & Systems-Service & Repair","http://solartrope.com","","739 W Taft Ave","Orange","CA","92865","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"17. ","California Solar Systems Inc","(855) 227-6527","https://www.yellowpages.com/anaheim-ca/mip/california-solar-systems-inc-508735374","Solar Energy Equipment & Systems-Service & Repair","http://www.855casolar.com","","1400 N Burton Pl","Anaheim","CA","92806","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
"18. ","Green Wave Electric","(714) 492-1042","https://www.yellowpages.com/stanton-ca/mip/green-wave-electric-561815071","Solar Energy Equipment & Systems-Service & Repair","http://greenwaveelectric-ca.com","","","Stanton","CA","90680","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garden%20Grove,%20California"
