"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Infinity Energy","(888) 244-2513","https://www.yellowpages.com/garland-tx/mip/infinity-energy-556460088","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Electricians","https://www.infinityenergy.com","","2363 Merritt Dr","Garland","TX","75041","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"2. ","Axium Electric Inc","(972) 633-8680","https://www.yellowpages.com/plano-tx/mip/axium-electric-inc-460308108","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Research & Development","http://www.axiumsolar.com","","1005 Placid Ave Ste 100","Plano","TX","75074","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"3. ","Best Solar Installation","(972) 268-6349","https://www.yellowpages.com/richardson-tx/mip/best-solar-installation-550868216","Solar Energy Equipment & Systems-Service & Repair,Roofing Contractors,Solar Energy Equipment & Systems-Dealers","http://www.bestsolarinstallation.com","","616 S Sherman Street","Richardson","TX","75081","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"4. ","Cpe Groups","(214) 709-4165","https://www.yellowpages.com/richardson-tx/mip/cpe-groups-563711536","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Consultants","http://www.cpegroups.com","","1401 N Central Expy","Richardson","TX","75080","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"5. ","RISE Power","(855) 747-3769","https://www.yellowpages.com/richardson-tx/mip/rise-power-556212213","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Consultants","","","681 N Plano Rd Ste 121","Richardson","TX","75081","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"6. ","Universal Solar System","(866) 765-2795","https://www.yellowpages.com/plano-tx/mip/universal-solar-system-556724763","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Research & Development","","","305 W Spring Creek Pkwy Ste 100B","Plano","TX","75023","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"7. ","Infinity Solar","(469) 304-3444","https://www.yellowpages.com/plano-tx/mip/infinity-solar-535549321","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","http://www.solutionsforsolar.com","","5760 Legacy Dr","Plano","TX","75024","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"8. ","Get Energy Rate","(214) 888-6891","https://www.yellowpages.com/nationwide/mip/get-energy-rate-544511279","Solar Energy Equipment & Systems-Service & Repair,Energy Conservation Products & Services","http://www.getenergyrate.com","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"9. ","Premium Solar Patios","(866) 480-4420","https://www.yellowpages.com/dallas-tx/mip/premium-solar-patios-549481975","Solar Energy Equipment & Systems-Service & Repair","https://www.premiumsolarpatios.com","","10840 Sanden Dr Ste A","Dallas","TX","75238","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"10. ","Avila Energy Partners","(469) 554-0721","https://www.yellowpages.com/dallas-tx/mip/avila-energy-partners-481060900","Solar Energy Equipment & Systems-Service & Repair","http://avilaminerals.com","","1910 Pacific Ave","Dallas","TX","75201","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"11. ","Solarugreen","(682) 230-0313","https://www.yellowpages.com/dallas-tx/mip/solarugreen-544353644","Solar Energy Equipment & Systems-Service & Repair","http://www.solarugreen.com","","2200 W 32nd St #612123","Dallas","TX","75261","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"12. ","Kosmos Solar","(817) 968-3376","https://www.yellowpages.com/grand-prairie-tx/mip/kosmos-solar-548874175","Solar Energy Equipment & Systems-Service & Repair","https://www.kosmossolar.com","","1320 Post N Paddock St","Grand Prairie","TX","75050","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"13. ","R & S Solar Screens","(469) 675-1979","https://www.yellowpages.com/allen-tx/mip/r-s-solar-screens-29821801","Solar Energy Equipment & Systems-Service & Repair","","","1301 Creekwood Ct","Allen","TX","75002","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"14. ","Devices & Services Company","(214) 902-8337","https://www.yellowpages.com/dallas-tx/mip/devices-services-company-458833442","Solar Energy Equipment & Systems-Service & Repair","http://www.devicesandservices.com","","10290 Monroe Dr Ste 202","Dallas","TX","75229","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"15. ","Elite Solar Systems, LLC","(214) 534-3277","https://www.yellowpages.com/dallas-tx/mip/elite-solar-systems-llc-503984709","Solar Energy Equipment & Systems-Service & Repair","","","10606 Shady Trail, Ste. 114","dallas","TX","75220","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"16. ","TriSMART Solar","(682) 200-1978","https://www.yellowpages.com/grand-prairie-tx/mip/trismart-solar-556187264","Solar Energy Equipment & Systems-Service & Repair","","","1555 Avenue S Ste 100","Grand Prairie","TX","75050","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"17. ","Get Solarize","(972) 639-3725","https://www.yellowpages.com/grand-prairie-tx/mip/get-solarize-561808930","Solar Energy Equipment & Systems-Service & Repair","","","2214 Paddock Way Dr","Grand Prairie","TX","75050","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
"18. ","DFW Solar Electric","(972) 827-7651","https://www.yellowpages.com/flower-mound-tx/mip/dfw-solar-electric-486974656","Solar Energy Equipment & Systems-Service & Repair","http://dfwsolarelectric.com","","2201 Long Prairie Rd Suite 107-763","Flower Mound","TX","75022","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Garland,%20Texas"
