"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Glendale Roofing & Construction LLC","(623) 201-8803","https://www.yellowpages.com/glendale-az/mip/glendale-roofing-construction-llc-17296684?lid=1001716605063","Solar Energy Equipment & Systems-Service & Repair,Contractors Equipment & Supplies,Insulation Contractors Equipment & Supplies","http://www.glendaleroofing.com","","6130 W Myrtle Ave","Glendale","AZ","85301","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"2. ","Solar Extreme","(602) 757-6638","https://www.yellowpages.com/glendale-az/mip/solar-extreme-518335658","Solar Energy Equipment & Systems-Service & Repair","","","16457 N Ponderosa Dr","Glendale","AZ","85306","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"3. ","Arizona Accurate Solar & Ac","(602) 547-1598","https://www.yellowpages.com/glendale-az/mip/arizona-accurate-solar-ac-25146137","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","http://www.arizonaaccurate.com","","18517 N 63rd Dr","Glendale","AZ","85308","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"4. ","Custom Solar Installs Off Grid Specialist","(602) 435-6000","https://www.yellowpages.com/glendale-az/mip/custom-solar-installs-off-grid-specialist-483594298","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","","","7220 W Sierra Vista Dr","Glendale","AZ","85303","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"5. ","AZ Solar Shine","(623) 476-7251","https://www.yellowpages.com/goodyear-az/mip/az-solar-shine-459269243","Solar Energy Equipment & Systems-Service & Repair","","","13146 W Alvarado Cir","Goodyear","AZ","85395","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"6. ","Energy Master LLC","(623) 251-6698","https://www.yellowpages.com/surprise-az/mip/energy-master-llc-18559009","Solar Energy Equipment & Systems-Service & Repair","http://www.nrgmaster.com","","17864 W Andora St","Surprise","AZ","85388","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"7. ","Clean Solar & Glass","(602) 554-8298","https://www.yellowpages.com/waddell-az/mip/clean-solar-glass-520949636","Solar Energy Equipment & Systems-Service & Repair","http://www.cleansolarandglass.com","","PO Box 362","Waddell","AZ","85355","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"8. ","Sun Path","(602) 334-7593","https://www.yellowpages.com/buckeye-az/mip/sun-path-492508485","Solar Energy Equipment & Systems-Service & Repair","http://www.sunbikes.com","","20477 W Hamilton St","Buckeye","AZ","85396","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"9. ","EZ Solar Energy","(623) 321-4232","https://www.yellowpages.com/surprise-az/mip/ez-solar-energy-567041881","Solar Energy Equipment & Systems-Service & Repair","https://ezsolarenergy.com","","","Surprise","AZ","85379","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"10. ","AZ DESERT SHINE LLC.","(602) 882-9768","https://www.yellowpages.com/surprise-az/mip/az-desert-shine-llc-480014212","Solar Energy Equipment & Systems-Service & Repair,Window Cleaning","http://www.azdesertshine.com","","16735 N 113th Ln","Surprise","AZ","85378","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"11. ","Argent Solar Electric","(623) 444-5808","https://www.yellowpages.com/goodyear-az/mip/argent-solar-electric-217971","Solar Energy Equipment & Systems-Service & Repair,Environmental & Ecological Consultants,Electric Companies","http://www.argentsolar.com","","671 N 137th Ave Suite 105","Goodyear","AZ","85338","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"12. ","Solar City","(714) 469-6304","https://www.yellowpages.com/sun-city-az/mip/solar-city-511676065","Solar Energy Equipment & Systems-Service & Repair,Electric Companies,Solar Energy Equipment & Systems-Dealers","","","12243 W Electra Ln","Sun City","AZ","85373","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"13. ","Mr. Solar Service","(909) 263-3989","https://www.yellowpages.com/surprise-az/mip/mr-solar-service-497797483","Solar Energy Equipment & Systems-Service & Repair,Pressure Washing Equipment & Services,Solar Energy Equipment & Systems-Dealers","http://mrsolarservice.com","","16601 W Marconi Ave","Surprise","AZ","85388","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"14. ","SOS Plumbing","(602) 380-6649","https://www.yellowpages.com/peoria-az/mip/sos-plumbing-17219802","Solar Energy Equipment & Systems-Service & Repair,Plumbers,Plumbing-Drain & Sewer Cleaning","http://sosplumbing.net","","PO Box 2877","Peoria","AZ","85380","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"15. ","Universal Solar Inc.","(602) 432-5300","https://www.yellowpages.com/peoria-az/mip/universal-solar-inc-451379753","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Products & Services","http://universalsolarinc.com","","","Peoria","AZ","85382","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"16. ","Black Platinum Solar & Electric","(623) 434-3340","https://www.yellowpages.com/nationwide/mip/black-platinum-solar-electric-558948504","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","https://blackplatinumsolar.com","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"17. ","Mesh Bro Enterprises","(623) 523-1790","https://www.yellowpages.com/nationwide/mip/mesh-bro-enterprises-564073339","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Products & Services","https://meshbroenterprises.com","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"18. ","No Bull Solar","(623) 418-8844","https://www.yellowpages.com/nationwide/mip/no-bull-solar-568009920","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Products & Services","http://nobullsolaraz.com","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"19. ","Parker And Son's Cooling, Heating & Plumbing","(602) 273-7247","https://www.yellowpages.com/phoenix-az/mip/parker-and-sons-cooling-heating-plumbing-467171346?lid=1002004374965","Solar Energy Equipment & Systems-Service & Repair,Fireplace Equipment,Air Conditioning Service & Repair","http://www.parkerandsons.com","","3636 E Anne St Ste A","Phoenix","AZ","85040","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"20. ","Xpowur","(602) 502-6138","https://www.yellowpages.com/phoenix-az/mip/xpowur-464559944","Solar Energy Equipment & Systems-Service & Repair","http://www.xpowur.com","","10101 N Saddle Terrace","Phoenix","AZ","85020","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"21. ","Custom Home Services","(480) 504-6700","https://www.yellowpages.com/phoenix-az/mip/custom-home-services-550360089","Solar Energy Equipment & Systems-Service & Repair","https://www.custom-home-services.com","","2345 E Thomas Rd Ste 100A","Phoenix","AZ","85016","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"22. ","Smart Choice Solar","(602) 264-8371","https://www.yellowpages.com/phoenix-az/mip/smart-choice-solar-472950738","Solar Energy Equipment & Systems-Service & Repair","http://southwestforestproducts.com","","5110 N Central Ave","Phoenix","AZ","85012","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"23. ","Cheetah Solar","(833) 358-0358","https://www.yellowpages.com/phoenix-az/mip/cheetah-solar-549234807","Solar Energy Equipment & Systems-Service & Repair","http://cheetahsolar.co","","3101 N Central Ave STE 770","Phoenix","AZ","85012","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"24. ","Sunora Energy Solutions Limited Partnership","(602) 772-5220","https://www.yellowpages.com/phoenix-az/mip/sunora-energy-solutions-limited-partnership-484980784","Solar Energy Equipment & Systems-Service & Repair","http://www.sunoraenergy.com","","2342 E University Dr","Phoenix","AZ","85034","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"25. ","Sunrun Inc","(480) 565-2783","https://www.yellowpages.com/scottsdale-az/mip/sunrun-inc-523957408","Solar Energy Equipment & Systems-Service & Repair","","","16260 N 71st St Ste 450","Scottsdale","AZ","85254","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"26. ","Freedom Forever Arizona","(888) 557-6431","https://www.yellowpages.com/mesa-az/mip/freedom-forever-arizona-550726244","Solar Energy Equipment & Systems-Service & Repair","https://www.freedomforever.com","","2546 W Birchwood Ave Ste 101","Mesa","AZ","85202","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"27. ","JLM Energy","(480) 620-8216","https://www.yellowpages.com/mesa-az/mip/jlm-energy-526506567","Solar Energy Equipment & Systems-Service & Repair","http://www.mysunsolarenergymesaaz.com","","916 E Baseline Rd Ste 105-108","Mesa","AZ","85204","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"28. ","Urban Energy Solutions, Inc","(480) 282-9501","https://www.yellowpages.com/phoenix-az/mip/urban-energy-solutions-inc-474655129","Solar Energy Equipment & Systems-Service & Repair","http://www.urbanenergyinc.com","","3312 E Broadway Rd","Phoenix","AZ","85040","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"29. ","Arcadia Solar","(602) 368-1202","https://www.yellowpages.com/tempe-az/mip/arcadia-solar-521572998","Solar Energy Equipment & Systems-Service & Repair","http://www.arcadiasolar.com","","2211 S 48th St Ste A","Tempe","AZ","85282","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
"30. ","Natural Power and Energy","(480) 483-0702","https://www.yellowpages.com/scottsdale-az/mip/natural-power-and-energy-481593293","Solar Energy Equipment & Systems-Service & Repair","http://www.naturalpowerandenergy.com","","8700 E Via De Ventura Ste 260","Scottsdale","AZ","85258","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20Arizona"
