"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Green Living Remodeling","(877) 412-1238","https://www.yellowpages.com/burbank-ca/mip/green-living-remodeling-466913798","Solar Energy Equipment & Systems-Service & Repair,Kitchen Planning & Remodeling Service,Bathroom Remodeling","","","3500 W Olive Ave Fl 300","Burbank","CA","91505","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20California"
"2. ","Solaroptimum","(818) 804-3122","https://www.yellowpages.com/glendale-ca/mip/solaroptimum-520828101","Solar Energy Equipment & Systems-Service & Repair","http://www.solaroptimum.com","","614 W Colorado St","Glendale","CA","91204","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20California"
"3. ","Jobe Roofing Co","(732) 639-1861","https://www.yellowpages.com/los-angeles-ca/mip/jobe-roofing-co-457133832?lid=1002103411122","Solar Energy Equipment & Systems-Service & Repair,Building Contractors-Commercial & Industrial,Building Contractors","http://www.joberoofing.com","","3022 W 48th St","Los Angeles","CA","90043","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20California"
"4. ","La Solar Systems Inc","(818) 238-3575","https://www.yellowpages.com/sunland-ca/mip/la-solar-systems-inc-475613184","Solar Energy Equipment & Systems-Service & Repair","http://www.lasolarsystemsinc.com","","10319 Leolang Ave","Sunland","CA","91040","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20California"
"5. ","Sunsational Skylights","(818) 696-4774","https://www.yellowpages.com/tujunga-ca/mip/sunsational-skylights-504472593","Solar Energy Equipment & Systems-Service & Repair","https://skylightspecialist.com/sunsational-skylights","","9541 Haines Canyon Ave","Tujunga","CA","91042","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20California"
"6. ","Magic Solar Electric","(818) 369-7411","https://www.yellowpages.com/glendale-ca/mip/magic-solar-electric-533657740","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Electricians","","","6500 San Fernando Rd","Glendale","CA","91201","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20California"
"7. ","Green Conception","(818) 804-3132","https://www.yellowpages.com/burbank-ca/mip/green-conception-480654961","Solar Energy Equipment & Systems-Service & Repair,Energy Conservation Consultants,Energy Conservation Products & Services","http://www.greenconception.com","","409 Irving Dr","Burbank","CA","91504","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20California"
"8. ","Brothers Solar","(818) 979-9909","https://www.yellowpages.com/glendale-ca/mip/brothers-solar-527630644","Solar Energy Equipment & Systems-Service & Repair","http://www.brotherssolar.com","","","Glendale","CA","91202","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20California"
"9. ","The Electrical Service / Glendale","(818) 488-6877","https://www.yellowpages.com/glendale-ca/mip/the-electrical-service-glendale-467198319","Solar Energy Equipment & Systems-Service & Repair,Landscape Contractors,Electricians","","","1101 E Broadway","Glendale","CA","91205","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20California"
"10. ","The Electrical Service / Burbank","(818) 659-0669","https://www.yellowpages.com/burbank-ca/mip/the-electrical-service-burbank-467201538","Solar Energy Equipment & Systems-Service & Repair,Landscape Designers & Consultants,Electricians","","","2740 W Magnolia Blvd","Burbank","CA","91505","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Glendale,%20California"
