"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Solar Panel Cleaning OC","(714) 876-9658","https://www.yellowpages.com/fountain-valley-ca/mip/solar-panel-cleaning-oc-567892967?lid=1002101563427","Solar Energy Equipment & Systems-Service & Repair","http://www.solarpanelcleaningoc.com","","","Fountain Valley","CA","92708","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"2. ","1-800-Fix-Spas","(800) 349-7727","https://www.yellowpages.com/nationwide/mip/1-800-fix-spas-17145024?lid=1001895700045","Solar Energy Equipment & Systems-Service & Repair,Building Specialties,Spas & Hot Tubs-Repair & Service","http://www.fixspas.com/","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"3. ","CXI Constructions Contractors","(714) 453-4981","https://www.yellowpages.com/riverside-ca/mip/cxi-constructions-contractors-472905652?lid=299403785","Solar Energy Equipment & Systems-Service & Repair,Home Improvements,Home Repair & Maintenance","http://www.cxiconstruction.com/ConstructionExperts/index.asp","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"4. ","GCI Solar","(888) 424-7652","https://www.yellowpages.com/huntington-beach-ca/mip/gci-solar-472998561","Solar Energy Equipment & Systems-Service & Repair","http://www.gcisolar.com","","15261 Connector Ln","Huntington Beach","CA","92649","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"5. ","Solar Maid","(657) 200-5347","https://www.yellowpages.com/huntington-beach-ca/mip/solar-maid-473384106","Solar Energy Equipment & Systems-Service & Repair","http://solarmaidoc.com","","19881 Brookhurst St Ste C93","Huntington Beach","CA","92646","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"6. ","Solar Installation Pros","(866) 691-4637","https://www.yellowpages.com/huntington-beach-ca/mip/solar-installation-pros-472340003","Solar Energy Equipment & Systems-Service & Repair,Home Improvements","","","2122 Main St","Huntington Beach","CA","92648","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"7. ","Purchasing Solar Panels","(877) 799-9820","https://www.yellowpages.com/huntington-beach-ca/mip/purchasing-solar-panels-505297206","Solar Energy Equipment & Systems-Service & Repair,Energy Conservation Consultants,Solar Energy Equipment & Systems-Dealers","http://www.purchasingsolarpanels.com","","17382 jefferson Ln","Huntington Beach","CA","92647","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"8. ","Go Solar Power Systems","(866) 495-5034","https://www.yellowpages.com/huntington-beach-ca/mip/go-solar-power-systems-480208846","Solar Energy Equipment & Systems-Service & Repair,Home Improvements,Solar Energy Equipment & Systems-Dealers","","","17011 Beach Blvd Ste 710","Huntington Beach","CA","92647","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"9. ","Nye Electric","(714) 916-4445","https://www.yellowpages.com/huntington-beach-ca/mip/nye-electric-534062415","Solar Energy Equipment & Systems-Service & Repair,Home Improvements,Home Repair & Maintenance","http://www.nyeelectric.com","","6401 Warner Ave #435","Huntington Beach","CA","92647","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"10. ","The United Solar Inc (TSI)","(800) 991-8619","https://www.yellowpages.com/huntington-beach-ca/mip/the-united-solar-inc-tsi-524592746","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Research & Development","http://www.theunitedsolar.com","","16651 Gothard St Ste E","Huntington Beach","CA","92647","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"11. ","Solar -Skynet USA Corporation","(714) 886-0991","https://www.yellowpages.com/huntington-beach-ca/mip/solar-skynet-usa-corporation-520720712","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Research & Development,Solar Energy Equipment & Systems-Dealers","http://www.solarskynetusa.com/index.html","","16742 Bolero Ln","Huntington Beach","CA","92649","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"12. ","True South Renewables Inc","(714) 908-5266","https://www.yellowpages.com/huntington-beach-ca/mip/true-south-renewables-inc-480753398","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","http://www.truesouthrenewables.com","","5406 Bolsa Ave","Huntington Beach","CA","92649","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"13. ","Vasco Solar Heating","(714) 968-8845","https://www.yellowpages.com/costa-mesa-ca/mip/vasco-solar-heating-463309033","Solar Energy Equipment & Systems-Service & Repair","","","1927 Harbor Blvd Ste 278","Costa Mesa","CA","92627","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"14. ","Vasco Solar Heating","(714) 968-8845","https://www.yellowpages.com/fountain-valley-ca/mip/vasco-solar-heating-531438606","Solar Energy Equipment & Systems-Service & Repair","http://www.vascosolar.com","","17150 Newhope St","Fountain Valley","CA","92708","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"15. ","American Solar Power Inc","(714) 897-2777","https://www.yellowpages.com/westminster-ca/mip/american-solar-power-inc-457253694","Solar Energy Equipment & Systems-Service & Repair","","","15159 Goldenwest Cir","Westminster","CA","92683","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"16. ","Raychelle Irby -JVGlobal Solar","(562) 458-5429","https://www.yellowpages.com/costa-mesa-ca/mip/raychelle-irby-jvglobal-solar-535807699","Solar Energy Equipment & Systems-Service & Repair","","","949 S Coast Dr #550","Costa Mesa","CA","92626","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"17. ","The Watt Source","(949) 558-6161","https://www.yellowpages.com/corona-del-mar-ca/mip/the-watt-source-516946726","Solar Energy Equipment & Systems-Service & Repair","","","225 Orchid Ave","Corona Del Mar","CA","92625","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"18. ","Clean Choice Solar","(562) 356-0776","https://www.yellowpages.com/fountain-valley-ca/mip/clean-choice-solar-472192534","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Research & Development,Solar Energy Equipment & Systems-Dealers","http://cleanchoicesolar.com","","18627 Brookhurst St","Fountain Valley","CA","92708","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"19. ","Best Solar Installation","(714) 485-0016","https://www.yellowpages.com/fountain-valley-ca/mip/best-solar-installation-550835942","Solar Energy Equipment & Systems-Service & Repair,Roofing Contractors,Solar Energy Equipment & Systems-Dealers","http://www.bestsolarinstallation.com","","10061 Talbert Ave","Fountain Valley","CA","92708","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"20. ","Southwest Sun Solar","(714) 582-3909","https://www.yellowpages.com/westminster-ca/mip/southwest-sun-solar-503100353","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","http://southwestsunsolar.com","","5871 Westminster Blvd Ste C","Westminster","CA","92683","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"21. ","Soorya Unlimited","(949) 527-2999","https://www.yellowpages.com/huntingtn-bch-ca/mip/soorya-unlimited-543338569","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Research & Development","https://sooryaunlimited.com","","19671 Beach Blvd Ste 315","Huntingtn Bch","CA","92648","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"22. ","Solar Installation Pros","(866) 691-4637","https://www.yellowpages.com/fountain-valley-ca/mip/solar-installation-pros-472351977","Solar Energy Equipment & Systems-Service & Repair,Home Improvements","","","17300 Brookhurst St","Fountain Valley","CA","92708","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"23. ","Solar Installation Pros","(866) 691-4637","https://www.yellowpages.com/costa-mesa-ca/mip/solar-installation-pros-472347347","Solar Energy Equipment & Systems-Service & Repair,Home Improvements","","","2945 Harbor Blvd","Costa Mesa","CA","92626","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"24. ","Hathaway Enterprises","(714) 540-7402","https://www.yellowpages.com/costa-mesa-ca/mip/hathaway-enterprises-2941231","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","","","292 Villanova Rd","Costa Mesa","CA","92626","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"25. ","Valley Unique Electric Inc","(714) 619-9819","https://www.yellowpages.com/fountain-valley-ca/mip/valley-unique-electric-inc-472059070","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Electricians","","","17660 Newhope St","Fountain Valley","CA","92708","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"26. ","Solar Installation Pros","(866) 696-6031","https://www.yellowpages.com/newport-beach-ca/mip/solar-installation-pros-472347374","Solar Energy Equipment & Systems-Service & Repair,Home Improvements","","","2290 W Balboa Blvd","Newport Beach","CA","92663","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"27. ","American Sun Polar Power Inc","(714) 891-8536","https://www.yellowpages.com/westminster-ca/mip/american-sun-polar-power-inc-470534156","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","","","7254 Fenwick Ln","Westminster","CA","92683","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"28. ","Solar Installation Pros","(877) 372-7452","https://www.yellowpages.com/westminster-ca/mip/solar-installation-pros-472340014","Solar Energy Equipment & Systems-Service & Repair,Home Improvements","","","6512 Westminster Blvd","Westminster","CA","92683","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"29. ","National Solar Info","(877) 540-5402","https://www.yellowpages.com/nationwide/mip/national-solar-info-497692059","Solar Energy Equipment & Systems-Service & Repair,Energy Conservation Consultants,Energy Conservation Products & Services","","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
"30. ","Vasco Solar Energy Construction","(714) 968-8845","https://www.yellowpages.com/nationwide/mip/vasco-solar-energy-construction-17232856","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Electric Equipment Repair & Service","https://www.vascosolar.com","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Huntington%20Beach,%20California"
