"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Prime Solar Power LLC","(917) 582-2743","https://www.yellowpages.com/jersey-city-nj/mip/prime-solar-power-llc-31218657","Solar Energy Equipment & Systems-Service & Repair,Electric Contractors-Commercial & Industrial","http://www.primesolarpower.com","","15 Wayne St","Jersey City","NJ","07302","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Jersey%20City,%20New%20Jersey"
"2. ","MPR Solar","(201) 822-5106","https://www.yellowpages.com/hoboken-nj/mip/mpr-solar-496805651","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","http://www.mprsolar.com","","408 Madison St Apt 6","Hoboken","NJ","07030","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Jersey%20City,%20New%20Jersey"
"3. ","PV Pros","(877) 205-6466","https://www.yellowpages.com/hoboken-nj/mip/pv-pros-567118973","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","","","111 River St Ste 1105","Hoboken","NJ","07030","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Jersey%20City,%20New%20Jersey"
"4. ","Pure Power Systems, Inc.","(201) 687-9976","https://www.yellowpages.com/hoboken-nj/mip/pure-power-systems-inc-474525841","Solar Energy Equipment & Systems-Service & Repair,Electrical Engineers,Solar Energy Equipment & Systems-Dealers","http://www.pure-ps.com","","50 Harrison St Ste 306","Hoboken","NJ","07030","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Jersey%20City,%20New%20Jersey"
"5. ","Suntech Solar","(201) 875-1831","https://www.yellowpages.com/hackensack-nj/mip/suntech-solar-548309767","Solar Energy Equipment & Systems-Service & Repair","","","25 Main St","Hackensack","NJ","07601","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Jersey%20City,%20New%20Jersey"
"6. ","SolarFix","(973) 404-0372","https://www.yellowpages.com/east-orange-nj/mip/solarfix-542203864","Solar Energy Equipment & Systems-Service & Repair","http://www.solarfixpro.com","","134 Evergreen Pl Suite 412","East Orange","NJ","07018","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Jersey%20City,%20New%20Jersey"
"7. ","Green Power Solutions","(718) 744-7625","https://www.yellowpages.com/new-york-ny/mip/green-power-solutions-462793439","Solar Energy Equipment & Systems-Service & Repair","http://www.solargp.com","","121 E 24th St Fl 4","New York","NY","10010","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Jersey%20City,%20New%20Jersey"
"8. ","Solar Power Planet","(862) 895-5553","https://www.yellowpages.com/newark-nj/mip/solar-power-planet-558913611","Solar Energy Equipment & Systems-Service & Repair","https://solarpowerplanet.net","","511 S Orange Ave","Newark","NJ","07103","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Jersey%20City,%20New%20Jersey"
"9. ","Lionshead Energy","(888) 508-7652","https://www.yellowpages.com/long-island-city-ny/mip/lionshead-energy-497370027","Solar Energy Equipment & Systems-Service & Repair","","","4518 Court Sq Ste 400","Long Island City","NY","11101","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Jersey%20City,%20New%20Jersey"
"10. ","Global Energy Collaborations","(212) 655-5432","https://www.yellowpages.com/belleville-nj/mip/global-energy-collaborations-529524049","Solar Energy Equipment & Systems-Service & Repair","http://www.gcproductsandservices.info","","731 Belleville Ave","Belleville","NJ","07109","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Jersey%20City,%20New%20Jersey"
"11. ","Mercury Solar Systems","(718) 433-4433","https://www.yellowpages.com/long-island-city-ny/mip/mercury-solar-systems-8153229","Solar Energy Equipment & Systems-Service & Repair,Energy Management Engineers","","","5120 35th St","Long Island City","NY","11101","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Jersey%20City,%20New%20Jersey"
