"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Glendale Roofing & Construction LLC","(623) 201-8803","https://www.yellowpages.com/glendale-az/mip/glendale-roofing-construction-llc-17296684?lid=1001716605063","Solar Energy Equipment & Systems-Service & Repair,Contractors Equipment & Supplies,Insulation Contractors Equipment & Supplies","http://www.glendaleroofing.com","","6130 W Myrtle Ave","Glendale","AZ","85301","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Mesa,%20Arizona"
"2. ","JLM Energy","(480) 620-8216","https://www.yellowpages.com/mesa-az/mip/jlm-energy-526506567","Solar Energy Equipment & Systems-Service & Repair","http://www.mysunsolarenergymesaaz.com","","916 E Baseline Rd Ste 105-108","Mesa","AZ","85204","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Mesa,%20Arizona"
"3. ","Freedom Forever Arizona","(888) 557-6431","https://www.yellowpages.com/mesa-az/mip/freedom-forever-arizona-550726244","Solar Energy Equipment & Systems-Service & Repair","https://www.freedomforever.com","","2546 W Birchwood Ave Ste 101","Mesa","AZ","85202","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Mesa,%20Arizona"
"4. ","The Next Gen Solar","(480) 504-1672","https://www.yellowpages.com/mesa-az/mip/the-next-gen-solar-557804216","Solar Energy Equipment & Systems-Service & Repair","http://thenextgensolar.com","","1616 N ALTA MESA Dr","Mesa","AZ","85205","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Mesa,%20Arizona"
"5. ","Solar Penny Solar Store Arizona in Mesa","(480) 832-0585","https://www.yellowpages.com/mesa-az/mip/solar-penny-solar-store-arizona-in-mesa-470577776","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Research & Development,Electric Companies","http://www.solarpenny.com","","4410 E University Dr ste 107","Mesa","AZ","85205","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Mesa,%20Arizona"
"6. ","Latent Inc.","(480) 729-1048","https://www.yellowpages.com/mesa-az/mip/latent-inc-565141567","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Products & Services","https://www.latency-inc.com","","1849 S Power Rd 2310","Mesa","AZ","85206","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Mesa,%20Arizona"
"7. ","Titan Solar Power Az Inc","(855) 729-7652","https://www.yellowpages.com/mesa-az/mip/titan-solar-power-az-inc-548493560","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Consultants","http://www.titansolarpower.com","","525 W Baseline Rd","Mesa","AZ","85210","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Mesa,%20Arizona"
"8. ","Canopy Solar","(602) 491-0591","https://www.yellowpages.com/mesa-az/mip/canopy-solar-559696824","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Consultants","https://gocanopysolar.com","","3820 E Main St","Mesa","AZ","85205","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Mesa,%20Arizona"
"9. ","Solar Electric Systems & Products","(480) 510-2170","https://www.yellowpages.com/mesa-az/mip/solar-electric-systems-products-456452928","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Electric Contractors-Commercial & Industrial","http://www.877solarguy.com","","2716 N Ogden Rd Ste 105","Mesa","AZ","85215","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Mesa,%20Arizona"
"10. ","Global NES of AZ, LLC","(877) 637-6329","https://www.yellowpages.com/mesa-az/mip/global-nes-of-az-llc-23206533","Solar Energy Equipment & Systems-Service & Repair,Public Utility Consultants,Energy Conservation Consultants","","","","Mesa","AZ","85206","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Mesa,%20Arizona"
"11. ","Polo Electric & Solar","(480) 363-9275","https://www.yellowpages.com/chandler-az/mip/polo-electric-solar-498527442","Solar Energy Equipment & Systems-Service & Repair","http://www.polosolar.com","","855 N Dobson Rd Apt 2102","Chandler","AZ","85224","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Mesa,%20Arizona"
"12. ","Arcadia Solar","(602) 368-1202","https://www.yellowpages.com/tempe-az/mip/arcadia-solar-521572998","Solar Energy Equipment & Systems-Service & Repair","http://www.arcadiasolar.com","","2211 S 48th St Ste A","Tempe","AZ","85282","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Mesa,%20Arizona"
"13. ","New Sun Energies","(888) 224-0805","https://www.yellowpages.com/tempe-az/mip/new-sun-energies-523632782","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","http://www.tempesolarelectricitycompany.com","","3116 S Mill Ave Ste 280","Tempe","AZ","85282","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Mesa,%20Arizona"
