"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Sun Badger Solar","(262) 297-3267","https://www.yellowpages.com/milwaukee-wi/mip/sun-badger-solar-548307748","Solar Energy Equipment & Systems-Service & Repair","https://www.sunbadger.com","","2625 S Greeley St","Milwaukee","WI","53207","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Milwaukee,%20Wisconsin"
"2. ","American Renewable Power, LLC","(414) 540-4033","https://www.yellowpages.com/milwaukee-wi/mip/american-renewable-power-llc-22804048","Solar Energy Equipment & Systems-Service & Repair,Heating Equipment & Systems,Water Heaters","","","4600 W Schroeder Dr","Milwaukee","WI","53223","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Milwaukee,%20Wisconsin"
"3. ","Cormack Natural Solutions","(224) 252-0722","https://www.yellowpages.com/milwaukee-wi/mip/cormack-natural-solutions-516440559","Solar Energy Equipment & Systems-Service & Repair,Energy Conservation Products & Services","","","2931 S 108th St","Milwaukee","WI","53227","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Milwaukee,%20Wisconsin"
"4. ","Milwaukee Solar","(262) 782-4042","https://www.yellowpages.com/brookfield-wi/mip/milwaukee-solar-4388508","Solar Energy Equipment & Systems-Service & Repair,Energy Management Engineers","http://city.milwaukee.gov/MilwaukeeShines","","270 N Elm Grove Rd","Brookfield","WI","53005","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Milwaukee,%20Wisconsin"
"5. ","Renewable Energy Center","(262) 250-1598","https://www.yellowpages.com/menomonee-falls-wi/mip/renewable-energy-center-505202636","Solar Energy Equipment & Systems-Service & Repair","","","N85W16075 Donald Ct","Menomonee Falls","WI","53051","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Milwaukee,%20Wisconsin"
"6. ","Alternative Energy Today","(262) 891-4541","https://www.yellowpages.com/waukesha-wi/mip/alternative-energy-today-472550406","Solar Energy Equipment & Systems-Service & Repair","","","1615 WhiteRock ave","Waukesha","WI","53186","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Milwaukee,%20Wisconsin"
"7. ","Heating & Cooling Solutions LLC","(262) 554-6083","https://www.yellowpages.com/racine-wi/mip/heating-cooling-solutions-llc-468518592","Solar Energy Equipment & Systems-Service & Repair,Heating Contractors & Specialties,Boiler Dealers","https://www.heatingcoolingsolutions.com","","2430 Lathrop Ave","Racine","WI","53405","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Milwaukee,%20Wisconsin"
"8. ","Boundless, Inc.","(832) 387-7572","https://www.yellowpages.com/racine-wi/mip/boundless-inc-567840014","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","https://boundlessinc.com?y_source=1_mjuxnta0mdgtntuzlwxvy2f0aw9ulndlynnpdgu%3d","","2506 S Green Bay Rd","Racine","WI","53406","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Milwaukee,%20Wisconsin"
"9. ","Sunvest Solar","(262) 547-1200","https://www.yellowpages.com/pewaukee-wi/mip/sunvest-solar-483532885","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","http://www.sunvest.com","","N27W24025 Paul Ct Ste 100","Pewaukee","WI","53072","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Milwaukee,%20Wisconsin"
"10. ","Burlington Solar","(262) 763-3522","https://www.yellowpages.com/burlington-wi/mip/burlington-solar-469909946","Solar Energy Equipment & Systems-Service & Repair,Energy Conservation Consultants,Solar Energy Equipment & Systems-Dealers","http://burlingtonsolar.net","","857 Milwaukee Ave","Burlington","WI","53105","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Milwaukee,%20Wisconsin"
