"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Green Power Solutions","(718) 744-7625","https://www.yellowpages.com/new-york-ny/mip/green-power-solutions-462793439","Solar Energy Equipment & Systems-Service & Repair","http://www.solargp.com","","121 E 24th St Fl 4","New York","NY","10010","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=New%20York,%20New%20York"
"2. ","Peace and Solar, Inc.","(646) 657-4302","https://www.yellowpages.com/new-york-ny/mip/peace-and-solar-inc-494959189","Solar Energy Equipment & Systems-Service & Repair","","","3333 Broadway Suite D-31-F","New York","NY","10031","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=New%20York,%20New%20York"
"3. ","New York Solar Center","(917) 606-5360","https://www.yellowpages.com/new-york-ny/mip/new-york-solar-center-201510","Solar Energy Equipment & Systems-Service & Repair,Ecological Engineers,Solar Energy Equipment & Systems-Dealers","","","45 W 25th St","New York","NY","10010","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=New%20York,%20New%20York"
"4. ","Quixotic Systems","(212) 367-9161","https://www.yellowpages.com/new-york-ny/mip/quixotic-systems-2247490","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Management Engineers","https://www.quixotic-systems.com","","90 Bedford St","New York","NY","10014","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=New%20York,%20New%20York"
"5. ","Energy & Solar Protection Agency","(212) 206-2480","https://www.yellowpages.com/new-york-ny/mip/energy-solar-protection-agency-4708697","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Major Appliances","","","363 7th Ave","New York","NY","10001","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=New%20York,%20New%20York"
"6. ","Safari Energy","(212) 935-2500","https://www.yellowpages.com/new-york-ny/mip/safari-energy-466359481","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Research & Development","http://www.safarienergy.com","","","New York","NY","10075","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=New%20York,%20New%20York"
"7. ","Peace and Solar","(646) 657-4302","https://www.yellowpages.com/nationwide/mip/peace-and-solar-23292846","Solar Energy Equipment & Systems-Service & Repair,Energy Conservation Consultants,Electricians","http://www.peaceandsolar.com","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=New%20York,%20New%20York"
"8. ","Suntech Solar","(201) 875-1831","https://www.yellowpages.com/hackensack-nj/mip/suntech-solar-548309767","Solar Energy Equipment & Systems-Service & Repair","","","25 Main St","Hackensack","NJ","07601","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=New%20York,%20New%20York"
"9. ","SolarFix","(973) 404-0372","https://www.yellowpages.com/east-orange-nj/mip/solarfix-542203864","Solar Energy Equipment & Systems-Service & Repair","http://www.solarfixpro.com","","134 Evergreen Pl Suite 412","East Orange","NJ","07018","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=New%20York,%20New%20York"
"10. ","Lionshead Energy","(888) 508-7652","https://www.yellowpages.com/long-island-city-ny/mip/lionshead-energy-497370027","Solar Energy Equipment & Systems-Service & Repair","","","4518 Court Sq Ste 400","Long Island City","NY","11101","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=New%20York,%20New%20York"
