"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Parker And Son's Cooling, Heating & Plumbing","(480) 378-7274","https://www.yellowpages.com/phoenix-az/mip/parker-and-sons-cooling-heating-plumbing-467171346?lid=1002100942727","Solar Energy Equipment & Systems-Service & Repair,Fireplace Equipment,Air Conditioning Service & Repair","http://www.parkerandsons.com","","3636 E Anne St Ste A","Phoenix","AZ","85040","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Phoenix,%20Arizona"
"2. ","Glendale Roofing & Construction LLC","(623) 201-8803","https://www.yellowpages.com/glendale-az/mip/glendale-roofing-construction-llc-17296684?lid=1001716605063","Solar Energy Equipment & Systems-Service & Repair,Contractors Equipment & Supplies,Insulation Contractors Equipment & Supplies","http://www.glendaleroofing.com","","6130 W Myrtle Ave","Glendale","AZ","85301","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Phoenix,%20Arizona"
"3. ","Phoenix Glass Cleaning","(480) 359-3084","https://www.yellowpages.com/nationwide/mip/phoenix-glass-cleaning-563323014?lid=1002075628978","Solar Energy Equipment & Systems-Service & Repair,Plumbers,Solar Energy Equipment & Systems-Dealers","http://www.phoenixglasscleaning.com","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Phoenix,%20Arizona"
"4. ","Custom Home Services","(480) 504-6700","https://www.yellowpages.com/phoenix-az/mip/custom-home-services-550360089","Solar Energy Equipment & Systems-Service & Repair","https://www.custom-home-services.com","","2345 E Thomas Rd Ste 100A","Phoenix","AZ","85016","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Phoenix,%20Arizona"
"5. ","Xpowur","(602) 502-6138","https://www.yellowpages.com/phoenix-az/mip/xpowur-464559944","Solar Energy Equipment & Systems-Service & Repair","http://www.xpowur.com","","10101 N Saddle Terrace","Phoenix","AZ","85020","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Phoenix,%20Arizona"
"6. ","Cheetah Solar","(833) 358-0358","https://www.yellowpages.com/phoenix-az/mip/cheetah-solar-549234807","Solar Energy Equipment & Systems-Service & Repair","http://cheetahsolar.co","","3101 N Central Ave STE 770","Phoenix","AZ","85012","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Phoenix,%20Arizona"
"7. ","Sunora Energy Solutions Limited Partnership","(602) 772-5220","https://www.yellowpages.com/phoenix-az/mip/sunora-energy-solutions-limited-partnership-484980784","Solar Energy Equipment & Systems-Service & Repair","http://www.sunoraenergy.com","","2342 E University Dr","Phoenix","AZ","85034","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Phoenix,%20Arizona"
"8. ","Smart Choice Solar","(602) 264-8371","https://www.yellowpages.com/phoenix-az/mip/smart-choice-solar-472950738","Solar Energy Equipment & Systems-Service & Repair","http://southwestforestproducts.com","","5110 N Central Ave","Phoenix","AZ","85012","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Phoenix,%20Arizona"
"9. ","Urban Energy Solutions, Inc","(480) 282-9501","https://www.yellowpages.com/phoenix-az/mip/urban-energy-solutions-inc-474655129","Solar Energy Equipment & Systems-Service & Repair","http://www.urbanenergyinc.com","","3312 E Broadway Rd","Phoenix","AZ","85040","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Phoenix,%20Arizona"
"10. ","Ulises Mejia Solar Broker","(520) 339-4673","https://www.yellowpages.com/phoenix-az/mip/ulises-mejia-solar-broker-534531177","Solar Energy Equipment & Systems-Service & Repair","","","","Phoenix","AZ","85023","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Phoenix,%20Arizona"
