"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Honeycomb Solar","(412) 329-8331","https://www.yellowpages.com/pittsburgh-pa/mip/honeycomb-solar-472656702","Solar Energy Equipment & Systems-Service & Repair","","","7812 Oak St","Pittsburgh","PA","15237","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Pittsburgh,%20Pennsylvania"
"2. ","Underwood Solar Future","(412) 235-7779","https://www.yellowpages.com/pittsburgh-pa/mip/underwood-solar-future-454701366","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","http://www.underwoodsolarfuture.com","","11 Jacksonia St","Pittsburgh","PA","15212","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Pittsburgh,%20Pennsylvania"
"3. ","Pittsburgh Solar Pros","(724) 227-0098","https://www.yellowpages.com/south-park-pa/mip/pittsburgh-solar-pros-568150745","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","http://pghsolarpros.com","","2922 Overhill St","South Park","PA","15129","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Pittsburgh,%20Pennsylvania"
"4. ","Steel City Solar & Roofing","(412) 403-4107","https://www.yellowpages.com/nationwide/mip/steel-city-solar-roofing-567102284","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Products & Services","https://www.steelcitysolarandroofing.com","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Pittsburgh,%20Pennsylvania"
"5. ","Farm The Sun Northeast","(724) 834-1194","https://www.yellowpages.com/greensburg-pa/mip/farm-the-sun-northeast-550006216","Solar Energy Equipment & Systems-Service & Repair","http://farmthesunnortheast.com","","126 S Pennsylvania Ave","Greensburg","PA","15601","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Pittsburgh,%20Pennsylvania"
"6. ","Green Solar Systems","(724) 691-0628","https://www.yellowpages.com/greensburg-pa/mip/green-solar-systems-491904749","Solar Energy Equipment & Systems-Service & Repair","http://www.addstarpower.com","","531 Turney St","Greensburg","PA","15601","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Pittsburgh,%20Pennsylvania"
"7. ","Solar Pro USA","(724) 668-5003","https://www.yellowpages.com/new-alexandria-pa/mip/solar-pro-usa-462547434","Solar Energy Equipment & Systems-Service & Repair","http://www.solarprousa.com","","7993 State Route 22","New Alexandria","PA","15670","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Pittsburgh,%20Pennsylvania"
"8. ","Pennsylvania Solar Energy Company Inc.","(724) 514-7306","https://www.yellowpages.com/washington-pa/mip/pennsylvania-solar-energy-company-inc-545574388","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Consultants","http://pennsolarenergy.com","","390 Old Hickory Ridge Rd","Washington","PA","15301","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Pittsburgh,%20Pennsylvania"
"9. ","Powerhome Solar","(412) 528-6562","https://www.yellowpages.com/sarver-pa/mip/powerhome-solar-549453744","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Consultants","https://www.powerhome.com/locations/solar-panels-pennsylvania/pittsburgh","","726 Ekastown Rd","Sarver","PA","16055","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Pittsburgh,%20Pennsylvania"
"10. ","Solar Power Industries","(724) 379-7072","https://www.yellowpages.com/rostraver-township-pa/mip/solar-power-industries-538125346","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","http://www.solarpowerindustries.com","","1011 Progress Cir","Rostraver Township","PA","15012","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Pittsburgh,%20Pennsylvania"
"11. ","Solar Power Industries","(724) 379-6500","https://www.yellowpages.com/rostraver-township-pa/mip/solar-power-industries-21659878","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","","","430 Jonathan Willey Rd","Rostraver Township","PA","15012","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Pittsburgh,%20Pennsylvania"
