"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","HTA Plumbing & Mechanical","(775) 557-6726","https://www.yellowpages.com/reno-nv/mip/hta-plumbing-mechanical-458500192?lid=1000275638245","Solar Energy Equipment & Systems-Service & Repair,Building Contractors-Commercial & Industrial,Heating Equipment & Systems","http://www.htaplumbing.com","","","Reno","NV","89501","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Reno,%20Nevada"
"2. ","Dr  Shock Electric","(775) 626-9933","https://www.yellowpages.com/reno-nv/mip/dr-shock-electric-473608362?lid=1002103330003","Solar Energy Equipment & Systems-Service & Repair,Electric Equipment & Supplies,Electric Generators","http://drshockelectric.com","","","Reno","NV","89521","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Reno,%20Nevada"
"3. ","Simple Power Solar","(775) 786-4006","https://www.yellowpages.com/reno-nv/mip/simple-power-solar-538243888","Solar Energy Equipment & Systems-Service & Repair","http://www.simplepowersolar.com","","2187 Market St Ste B","Reno","NV","89502","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Reno,%20Nevada"
"4. ","Electric Charging Station","(888) 758-4389","https://www.yellowpages.com/reno-nv/mip/electric-charging-station-508816780","Solar Energy Equipment & Systems-Service & Repair","https://www.afdc.energy.gov/stations","","5050 Kietzke Ln","Reno","NV","89511","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Reno,%20Nevada"
"5. ","Peloria Solar Inc","(775) 333-1144","https://www.yellowpages.com/reno-nv/mip/peloria-solar-inc-16215670","Solar Energy Equipment & Systems-Service & Repair","","","5190 Neil Rd","Reno","NV","89502","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Reno,%20Nevada"
"6. ","Independent Power Corp.","(877) 729-0228","https://www.yellowpages.com/reno-nv/mip/independent-power-corp-467171931","Solar Energy Equipment & Systems-Service & Repair","","","3545 Airway Dr Ste 103","Reno","NV","89511","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Reno,%20Nevada"
"7. ","Brown & Read Engineering","(775) 324-6060","https://www.yellowpages.com/reno-nv/mip/brown-read-engineering-14381066","Solar Energy Equipment & Systems-Service & Repair,Geothermal Heating & Cooling Contractors,Plumbing Engineers","http://www.brownread.com","","1000 Telegraph St Ste 1","Reno","NV","89502","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Reno,%20Nevada"
"8. ","Hamilton Solar","(775) 747-6000","https://www.yellowpages.com/nationwide/mip/hamilton-solar-22870627","Solar Energy Equipment & Systems-Service & Repair","http://www.hamiltonsolarnevada.com","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Reno,%20Nevada"
"9. ","Aspen Electric","(775) 870-1064","https://www.yellowpages.com/sparks-nv/mip/aspen-electric-565867247","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Products & Services","https://aspenelectric.biz","","19 Glen Carran Cir","Sparks","NV","89431","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Reno,%20Nevada"
"10. ","Bryant Electric","(775) 771-7531","https://www.yellowpages.com/carson-city-nv/mip/bryant-electric-495344290","Solar Energy Equipment & Systems-Service & Repair,Electricians,Electric Contractors-Commercial & Industrial","","","12360 Westridge Drive","Carson City","NV","89511","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Reno,%20Nevada"
"11. ","Briggs Electric","(775) 887-9901","https://www.yellowpages.com/carson-city-nv/mip/briggs-electric-461707174","Solar Energy Equipment & Systems-Service & Repair,Electric Contractors-Commercial & Industrial,Data Communications Equipment & Systems","http://www.briggselectricnv.com","","5111 Convair Dr","Carson City","NV","89706","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Reno,%20Nevada"
"12. ","Simple Power Solar","(530) 582-4006","https://www.yellowpages.com/truckee-ca/mip/simple-power-solar-528162785","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","http://www.simplepowersolar.com","","11020 Trails End Ct","Truckee","CA","96161","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Reno,%20Nevada"
"13. ","Efficient Building Enterprises","(530) 448-2579","https://www.yellowpages.com/tahoe-city-ca/mip/efficient-building-enterprises-471246309","Solar Energy Equipment & Systems-Service & Repair,Home Improvements,Energy Conservation Consultants","","","PO Box 6511","Tahoe City","CA","96145","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Reno,%20Nevada"
