"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","Fortuna Joe Electric Co.","(707) 595-7278","https://www.yellowpages.com/santa-rosa-ca/mip/fortuna-joe-electric-co-16223114?lid=1001484496593","Solar Energy Equipment & Systems-Service & Repair,Lighting Contractors,Building Contractors","http://joefortunaelectric.com","","PO Box 7420","Santa Rosa","CA","95407","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"2. ","Summit Technology Group","(707) 766-1510","https://www.yellowpages.com/santa-rosa-ca/mip/summit-technology-group-479800402?lid=1001372900513","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Electricians","http://www.summit-e.com","","2450 Bluebell Dr","Santa Rosa","CA","95403","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"3. ","Renewables West","(800) 498-0774","https://www.yellowpages.com/san-leandro-ca/mip/renewables-west-458975094?lid=1001537971298","Solar Energy Equipment & Systems-Service & Repair,Generators,Environmental & Ecological Consultants","http://www.renewableswest.com","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"4. ","Suntegrity Solar","(707) 623-1464","https://www.yellowpages.com/santa-rosa-ca/mip/suntegrity-solar-555700847","Solar Energy Equipment & Systems-Service & Repair","","","3100 Dutton Ave Ste 138","Santa Rosa","CA","95407","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"5. ","Citadel Roofing & Solar","(707) 610-0650","https://www.yellowpages.com/santa-rosa-ca/mip/citadel-roofing-solar-562317490","Solar Energy Equipment & Systems-Service & Repair,Roofing Contractors","https://www.citadelrs.com/about-us/service-areas/santa-rosa/?utm_campaign=Local%20Citations&utm_source=yellowpages&utm_medium=local","","4165 Santa Rosa Ave","Santa Rosa","CA","95407","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"6. ","Northern Pacific Power Systems","(707) 528-7652","https://www.yellowpages.com/santa-rosa-ca/mip/northern-pacific-power-systems-538965371","Solar Energy Equipment & Systems-Service & Repair","https://www.northernpacificpower.com","","5580 Skylane Blvd STE B","Santa Rosa","CA","95403","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"7. ","Customized Roofing Company","(707) 208-2132","https://www.yellowpages.com/santa-rosa-ca/mip/customized-roofing-company-7134665","Solar Energy Equipment & Systems-Service & Repair,Gutters & Downspouts,Insulation Contractors","http://www.customizedroofingcompany.com","","5346 Montecito Ave","Santa Rosa","CA","95404","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"8. ","Bes Solar","(707) 795-8535","https://www.yellowpages.com/santa-rosa-ca/mip/bes-solar-461763763","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","","","516 3rd St","Santa Rosa","CA","95401","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"9. ","Western Pacific Solar","(707) 523-1101","https://www.yellowpages.com/santa-rosa-ca/mip/western-pacific-solar-483942242","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","http://westernpacificsolar.com","","327 Ohair Ct","Santa Rosa","CA","95407","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"10. ","ProSolarClean, LLC.","(707) 799-2797","https://www.yellowpages.com/glen-ellen-ca/mip/prosolarclean-llc-519090955","Solar Energy Equipment & Systems-Service & Repair","http://www.prosolarclean.com","","Po Box 668","Glen Ellen","CA","95442","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"11. ","Taylor Energy Systems Inc","(707) 387-1292","https://www.yellowpages.com/sebastopol-ca/mip/taylor-energy-systems-inc-505820697","Solar Energy Equipment & Systems-Service & Repair","https://solarforyourhouse.com/california/sebastopol","","7171 Evan Ave","Sebastopol","CA","95472","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"12. ","Sonoma Solar Inc","(707) 620-0333","https://www.yellowpages.com/windsor-ca/mip/sonoma-solar-inc-476331890","Solar Energy Equipment & Systems-Service & Repair","","","132 Cornell St","Windsor","CA","95492","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"13. ","Soligent Distribution","(800) 822-4041","https://www.yellowpages.com/rohnert-park-ca/mip/soligent-distribution-524395118","Solar Energy Equipment & Systems-Service & Repair","http://www.soligent.net","","1500 Valley House Dr Ste 210","Rohnert Park","CA","94928","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"14. ","Advanced Alternative Energy Solutions","(707) 789-9537","https://www.yellowpages.com/petaluma-ca/mip/advanced-alternative-energy-solutions-497497455","Solar Energy Equipment & Systems-Service & Repair","http://www.aaes.biz","","1160 Industrial Ave","Petaluma","CA","94952","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"15. ","All American Air Systems","(707) 762-1744","https://www.yellowpages.com/petaluma-ca/mip/all-american-air-systems-468136886","Solar Energy Equipment & Systems-Service & Repair","http://www.allamericanairandsolarsystems.com","","921 Transport Way Ste 8","Petaluma","CA","94954","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"16. ","Sun America Solar","(707) 364-5915","https://www.yellowpages.com/petaluma-ca/mip/sun-america-solar-535743980","Solar Energy Equipment & Systems-Service & Repair","http://www.sunamericasolar.vpweb.com","","170 Grevillia Dr","Petaluma","CA","94952","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"17. ","slashedinhalf.com","(805) 748-7028","https://www.yellowpages.com/petaluma-ca/mip/slashedinhalf-com-524710951","Solar Energy Equipment & Systems-Service & Repair","","","755 Baywood Dr","Petaluma","CA","94954","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"18. ","Canopy Energy","(424) 339-0005","https://www.yellowpages.com/petaluma-ca/mip/canopy-energy-543143264","Solar Energy Equipment & Systems-Service & Repair","http://www.canopyenergy.com","","755 Baywood Dr Ste 170","Petaluma","CA","94954","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"19. ","Tyler Rodrigues Electric","(707) 240-8962","https://www.yellowpages.com/petaluma-ca/mip/tyler-rodrigues-electric-559867417","Solar Energy Equipment & Systems-Service & Repair","http://trelectricca.com","","","Petaluma","CA","94952","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"20. ","Solar Works","(707) 829-8282","https://www.yellowpages.com/sebastopol-ca/mip/solar-works-4810219","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","http://www.solarworksca.com","","400 Morris St","Sebastopol","CA","95472","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"21. ","Sun Pirate","(707) 792-6929","https://www.yellowpages.com/cotati-ca/mip/sun-pirate-1782877","Solar Energy Equipment & Systems-Service & Repair,Employment Training,Solar Energy Equipment & Systems-Dealers","http://www.sunpirate.com","","442 Larkspur Ct","Cotati","CA","94931","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"22. ","Synergy Solar & Electrical Systems Inc","(707) 823-8003","https://www.yellowpages.com/sebastopol-ca/mip/synergy-solar-electrical-systems-inc-544989478","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Research & Development","http://www.synsolar.com","","101 Morris St. Suite 202","Sebastopol","CA","95472","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"23. ","Synergy Solar & Electric Systems Inc","(707) 823-8003","https://www.yellowpages.com/sebastopol-ca/mip/synergy-solar-electric-systems-inc-456878204","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Electricians","http://www.synsolar.com","","7075 E Hurlbut Ave","Sebastopol","CA","95472","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"24. ","North Coast Mobile Screen Service","(707) 591-4782","https://www.yellowpages.com/windsor-ca/mip/north-coast-mobile-screen-service-475930586","Solar Energy Equipment & Systems-Service & Repair,Door Repair,Screen Enclosures","http://www.northcoastmobile.com","","228 Windsor River Rd","Windsor","CA","95492","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"25. ","Solmetric Corp.","(707) 823-4600","https://www.yellowpages.com/sebastopol-ca/mip/solmetric-corp-12078090","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","http://www.solmetric.com","","117 Morris St Ste 100","Sebastopol","CA","95472","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"26. ","JBL Solar Energy","(707) 388-2001","https://www.yellowpages.com/cotati-ca/mip/jbl-solar-energy-522983251","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Consultants","http://jblsolarenergy.com","","7911 Redwood Dr Ste 201","Cotati","CA","94931","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"27. ","Holly Solar Products","(707) 763-6173","https://www.yellowpages.com/petaluma-ca/mip/holly-solar-products-30489071","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","http://www.hollysolar.com","","1340 Industrial Ave Ste D","Petaluma","CA","94952","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"28. ","Solar Depot","(707) 766-7727","https://www.yellowpages.com/petaluma-ca/mip/solar-depot-8993643","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","","","1240 Holm Rd","Petaluma","CA","94954","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"29. ","Geo's Pool Spa & Solar Company","(707) 938-5264","https://www.yellowpages.com/sonoma-ca/mip/geos-pool-spa-solar-company-470282332","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Swimming Pool Repair & Service","http://www.geospss.com","","21600 8th St E","Sonoma","CA","95476","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
"30. ","Solar Power Alliance","(707) 559-5683","https://www.yellowpages.com/petaluma-ca/mip/solar-power-alliance-473533555","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","http://www.a1solarpower.net","","755 Baywood Dr","Petaluma","CA","94954","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Santa%20Rosa,%20California"
