"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"1. ","K & M Shillingford Inc","(918) 834-7000","https://www.yellowpages.com/tulsa-ok/mip/k-m-shillingford-inc-9337963?lid=1001359725062","Solar Energy Equipment & Systems-Service & Repair,Heating Equipment & Systems,Boilers Equipment, Parts & Supplies","http://www.kms-intl.com","","","Tulsa","OK","74115","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Tulsa,%20Oklahoma"
"2. ","Hemphill Corporation","(918) 834-2200","https://www.yellowpages.com/tulsa-ok/mip/hemphill-corporation-528626620","Solar Energy Equipment & Systems-Service & Repair","http://www.hemphill.com","","1305 N Louisville Ave","Tulsa","OK","74115","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Tulsa,%20Oklahoma"
"3. ","Murray Electric Inc","(918) 254-9771","https://www.yellowpages.com/tulsa-ok/mip/murray-electric-inc-467185994","Solar Energy Equipment & Systems-Service & Repair,Electric Contractors-Commercial & Industrial,Electric Equipment Repair & Service","http://murrayelectric.com","","7508 E 11th St Ste B","Tulsa","OK","74112","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Tulsa,%20Oklahoma"
"4. ","DB Tech Computer Solutions","(918) 208-0898","https://www.yellowpages.com/tulsa-ok/mip/db-tech-computer-solutions-541232423","Solar Energy Equipment & Systems-Service & Repair,Computer Technical Assistance & Support Services,Computer Network Design & Systems","http://www.dbtechtulsa.com","","4931 South Mingo Road, STE B","Tulsa","OK","74146","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Tulsa,%20Oklahoma"
"5. ","Francis Solar","(800) 206-4258","https://www.yellowpages.com/tulsa-ok/mip/francis-solar-544387968","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Research & Development","https://solarforyourhouse.com/oklahoma/tulsa","","1924 E 6th St","Tulsa","OK","74104","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Tulsa,%20Oklahoma"
"6. ","Harvest Solar and Wind Power","(918) 521-6223","https://www.yellowpages.com/tulsa-ok/mip/harvest-solar-and-wind-power-526832634","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Skylights","http://www.harvestsolar.net","","4128 E Admiral Pl","Tulsa","OK","74115","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Tulsa,%20Oklahoma"
"7. ","Francis Solar","(800) 206-4258","https://www.yellowpages.com/tulsa-ok/mip/francis-solar-534259528","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers","http://www.francissolar.com/?ref=yp","","6733 S Yale Ave","Tulsa","OK","74136","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Tulsa,%20Oklahoma"
"8. ","Ion Solar + Wind","(918) 340-5399","https://www.yellowpages.com/tulsa-ok/mip/ion-solar-wind-482214020","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Research & Development,Energy Conservation Consultants","http://www.ion-solar.com","","5454 S 99th East Ave","Tulsa","OK","74146","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Tulsa,%20Oklahoma"
"9. ","Energy Prospects Inc","(918) 267-2300","https://www.yellowpages.com/beggs-ok/mip/energy-prospects-inc-1624647","Solar Energy Equipment & Systems-Service & Repair","","","8054 Highway 16","Beggs","OK","74421","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Tulsa,%20Oklahoma"
"10. ","Go Green Solutions LLC","(918) 379-4622","https://www.yellowpages.com/claremore-ok/mip/go-green-solutions-llc-22429631","Solar Energy Equipment & Systems-Service & Repair,Utility Contractors,Solar Energy Equipment & Systems-Dealers","","","24606 S Highway 66 Ste 16","Claremore","OK","74019","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Tulsa,%20Oklahoma"
"11. ","Tulsa Solar Co.","(918) 800-1402","https://www.yellowpages.com/catoosa-ok/mip/tulsa-solar-co-568080934","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","http://tulsasolarco.com","","2640 Sh-167","Catoosa","OK","74015","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Tulsa,%20Oklahoma"
"12. ","SunSource","(918) 742-2443","https://www.yellowpages.com/nationwide/mip/sunsource-468012108","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Energy Conservation Products & Services","http://www.solarsunsource.com","","","","","","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Tulsa,%20Oklahoma"
"13. ","Green Country Solar","(918) 834-6500","https://www.yellowpages.com/claremore-ok/mip/green-country-solar-24186669","Solar Energy Equipment & Systems-Service & Repair,Solar Energy Equipment & Systems-Dealers,Solar Energy Equipment & Systems-Manufacturers & Distributors","http://www.greencountrysolar.com","","9845 Mesa Dr","Claremore","OK","74017","https://www.yellowpages.com/search?search_terms=Solar%20panel%20installation&geo_location_terms=Tulsa,%20Oklahoma"
